abbreviation,encounters
мифол.,7
чечен.,7
этнографич.,7
монумент.,7
справоч.,7
заключ.,7
просв.,7
графич.,7
учрежд.,7
изобразит.,7
языч.,7
крест.,6
бум.,6
черкес.,6
качеств.,6
фотогр.,6
фундамент.,5
цв.,5
коллекц.,5
сузд.,5
переим.,5
уезд.,5
органич.,5
эксп.,5
наруж.,4
abbreviation,4
фольк.,4
синтетич.,4
идеологич.,4
см.,4
чугун.,4
реконстр.,4
стихотв.,4
старообрядч.,4
специфич.,3
словесн.,3
испр.,3
аристократич.,3
бюлл.,3
кириллич.,3
функц.,3
послесл.,3
прижизн.,3
декорац.,3
пластич.,2
потомств.,2
отт.,2
зап.-европ.,2
нумизматич.,2
сканд.,2
стекл.,2
епарх.,2
яз-знание,2
кн-во,2
артистич.,2
размещ.,2
трлн,2
купеч.,2
загран.,2
количеств.,2
социологич.,2
лит-ведение,1
ср.,1
осет.,1
адм.-терр.,1
полиграф.,1
эволюц.,1
классицистич.,1
ежекварт.,1
хронолоrич.,1
перераб.,1
классификац.,1
типологич.,1
преим.,1
старослав.,1
квалифицир.,1
терминологич.,1
синод.,1
см,1
национализ.,1
высококачеств.,1
ведомств.,1
керамич.,1
