question,answer
"Пионы создаются в верхних слоях атмосферы первичными космическими лучами и имеют очень короткое время распада — неск. нс.","Пионы создаются в верхних слоях атмосферы первичными космическими лучами и имеют очень короткое время распада — несколько наносекунд."
"Время жизни мюонов достаточно мало — 2,2 мкс, тем не менее эта элементарная частица рекордсмен по времени жизни и дольше её не распадается только свободный нейтрон.","Время жизни мюонов достаточно мало — 2,2 микросекунды, тем не менее эта элементарная частица рекордсмен по времени жизни и дольше её не распадается только свободный нейтрон."
"Время жизни мюона составляет 2,1969811(22) мкс.","Время жизни мюона составляет 2,1969811(22) микросекунды."
"При такой продолжительности жизни мюон, движущийся со скоростью, близкой к скорости света, должен был бы проходить в среднем 658 м до распада, если не учитывать релятивистских эффектов, однако для релятивистских мюонов из-за замедления времени они могут проходить многократно бо́льшие дистанции (напр., мюоны космических лучей, возникающие в верхних слоях атмосферы, достигают поверхности Земли, проходя десятки км).","При такой продолжительности жизни мюон, движущийся со скоростью, близкой к скорости света, должен был бы проходить в среднем 658 метров до распада, если не учитывать релятивистских эффектов, однако для релятивистских мюонов из-за замедления времени они могут проходить многократно бо́льшие дистанции (например, мюоны космических лучей, возникающие в верхних слоях атмосферы, достигают поверхности Земли, проходя десятки километров)."
"Мюоны, порождённые столкновениями частиц космических лучей с атомами верхних слоев атмосферы, регистрируются даже на глубине нескольких км.","Мюоны, порождённые столкновениями частиц космических лучей с атомами верхних слоев атмосферы, регистрируются даже на глубине нескольких километров."
"Для вычисления свободного пробега мюона в веществе используют такую величину, как средние потери энергии за пролёт одного см пути в веществе плотностью 1 г/см3.","Для вычисления свободного пробега мюона в веществе используют такую величину, как средние потери энергии за пролёт одного сантиметра пути в веществе плотностью 1 г/см3."
"Таким образом можно видеть, что в воде высокоэнергетический мюон может пролететь км, и даже в железе — сотни м.","Таким образом можно видеть, что в воде высокоэнергетический мюон может пролететь километры, и даже в железе — сотни метров."
"Мюоны поглощаются значительно слабее гамма-лучей, поэтому с их помощью можно «просвечивать» большие твёрдые объекты размером неск. сотен м, или достаточно толстые слои металла.","Мюоны поглощаются значительно слабее гамма-лучей, поэтому с их помощью можно «просвечивать» большие твёрдые объекты размером несколько сотен метров, или достаточно толстые слои металла."
"Там она училась с 1885 по 1887 г в мастерской Па Данье-Бювера (Pascal Dagnan-Bouveret) и Рафаэля Коллена (Raphael Collin).","Там она училась с 1885 по 1887 год в мастерской Паскаля Данье-Бювера (Pascal Dagnan-Bouveret) и Рафаэля Коллена (Raphael Collin)."
"Па Данжу, SOMUA S 35, изд-во TRACKSTORY №1, г издания — 2003.","Паскаль Данжу, SOMUA S 35, издательство TRACKSTORY №1, год издания — 2003."
"За дорогами постоянно следили, так что даже женщины могли путешествовать в одиночку; путешественники могли отдохнуть, поесть и даже оправиться в особых благоустроенных для этого местах, расположенных каждые 10—15 км.","За дорогами постоянно следили, так что даже женщины могли путешествовать в одиночку; путешественники могли отдохнуть, поесть и даже оправиться в особых благоустроенных для этого местах, расположенных каждые 10—15 километров."
"К 1958 г показывала результаты в среднем ок. 5 тыс. кг молока с каждой фуражной коровы.","К 1958 году показывала результаты в среднем около 5 тысяч килограмм молока с каждой фуражной коровы."
"В 1958 г с каждой коровы надоила в среднем по 5320 кг молока.","В 1958 году с каждой коровы надоила в среднем по 5320 килограмм молока."
"На первом чемпионате мира завоевал бронзу на дистанции 1500 м.","На первом чемпионате мира завоевал бронзу на дистанции 1500 метров."
"Урочище находится в восточной части Новгородской области, в подзоне южной тайги, к югу от автодороги 49Н-1031, на расстоянии примерно 42 км (по прямой) к юго-востоку от села Мошенского, административного центра района.","Урочище находится в восточной части Новгородской области, в подзоне южной тайги, к югу от автодороги 49Н-1031, на расстоянии примерно 42 километров (по прямой) к юго-востоку от села Мошенского, административного центра района."
"Абсолютная выс. — 205 м над уровнем моря.","Абсолютная высота — 205 метров над уровнем моря."
"д. находится в северо-восточной части Костромской области, в подзоне южной тайги, к северу от реки Вочи, на расстоянии приблизительно 24 км (по прямой) к северо-западу от посёлка Вохмы, административного центра района.","Деревня находится в северо-восточной части Костромской области, в подзоне южной тайги, к северу от реки Вочи, на расстоянии приблизительно 24 километров (по прямой) к северо-западу от посёлка Вохмы, административного центра района."
"Абсолютная выс. — 149 м над уровнем моря.","Абсолютная высота — 149 метров над уровнем моря."
"с. находится на юге центральной части Тамбовской области, в лесостепной зоне, в пределах Окско-Донской низменной равнины, на берегах реки Осиновки, на расстоянии примерно 10 км (по прямой) к юго-востоку от Сатинки, административного центра района.","Село находится на юге центральной части Тамбовской области, в лесостепной зоне, в пределах Окско-Донской низменной равнины, на берегах реки Осиновки, на расстоянии примерно 10 километров (по прямой) к юго-востоку от Сатинки, административного центра района."
"Абсолютная выс. — 145 м над уровнем моря.","Абсолютная высота — 145 метров над уровнем моря."
"с. расположено на правом берегу реки Ишим, на расстоянии примерно 32 км (по прямой) к северо-западу от административного центра района — села Акмол, в 3 км к северу от административного центра сельского округа — села Жанаесиль.","Село расположено на правом берегу реки Ишим, на расстоянии примерно 32 километров (по прямой) к северо-западу от административного центра района — села Акмол, в 3 километрах к северу от административного центра сельского округа — села Жанаесиль."
"Абсолютная выс. — 327 м над уровнем моря.","Абсолютная высота — 327 метров над уровнем моря."
"терр. города составляет 48,3 км2 и находится на высоте 585 м над уровнем моря.","Территория города составляет 48,3 км2 и находится на высоте 585 метров над уровнем моря."
"как пять г сушеных грибов псилоцибина, принятых в одиночку, натощак, в безмолвной темноте и с закрытыми глазами.","как пять граммов сушеных грибов псилоцибина, принятых в одиночку, натощак, в безмолвной темноте и с закрытыми глазами."
"Максимальная скорость на высоте 5000 м — 1000 км/ч","Максимальная скорость на высоте 5000 метров — 1000 км/ч"
"Время подъёма на высоту 5000 м — 4 минуты","Время подъёма на высоту 5000 метров — 4 минуты"
"Практический потолок — 13000 м","Практический потолок — 13000 метров"
"Разбег — 800 м","Разбег — 800 метров"
"Пробег — 900 м","Пробег — 900 метров"
"Максимальная скорость на высоте 5000 м — 1060 км/ч","Максимальная скорость на высоте 5000 метров — 1060 км/ч"
"Время подъёма на высоту 5000 м — 2,5 минуты","Время подъёма на высоту 5000 метров — 2,5 минуты"
"Практический потолок — 13000 м","Практический потолок — 13000 метров"
"Разбег — 620 м","Разбег — 620 метров"
"Пробег — 500 м","Пробег — 500 метров"
"Во время госиспытаний произошла авария, когда лётчик-испытатель В. И. Хомяков на высоте ок. 15000 м дал залп изо всех пушек — лопнуло остекление фонаря.","Во время госиспытаний произошла авария, когда лётчик-испытатель В. И. Хомяков на высоте около 15000 метров дал залп изо всех пушек — лопнуло остекление фонаря."
"Лётчик потерял сознание из-за декомпрессии и очнулся в пикирующем истребителе на высоте 4000 м.","Лётчик потерял сознание из-за декомпрессии и очнулся в пикирующем истребителе на высоте 4000 метров."
"Время виража: 32,8 с на 5000 м","Время виража: 32,8 секунды на 5000 м"
"Рост значительно превышает человеческий и составляет ок. 5 м.","Рост значительно превышает человеческий и составляет около 5 метров."
"Рост ок. 2,5—3 м.","Рост около 2,5—3 метров."
"Санаторий расположен в западной части области в 22 км к западу от Смоленска, в 0,1 км южнее автодороги А141 Орёл — Витебск, на правом берегу реки Днепр.","Санаторий расположен в западной части области в 22 километрах к западу от Смоленска, в 0,1 км южнее автодороги А141 Орёл — Витебск, на правом берегу реки Днепр."
"Общая дл. — 3190 м.","Общая длина — 3190 метров."
"Считается, что в России предпочитают некрепкий чёрный чай — сов. норма закладки чая для предприятий общественного питания составляла 4 г на л.","Считается, что в России предпочитают некрепкий чёрный чай — советская норма закладки чая для предприятий общественного питания составляла 4 г на литр."
"д. находится в северной части республики, в зоне хвойно-широколиственных лесов, в пределах Оршанско-Кокшайской равнины, при автодороге Р176, на расстоянии примерно 8 км (по прямой) к юго-юго-востоку от Оршанки, административного центра района.","Деревня находится в северной части республики, в зоне хвойно-широколиственных лесов, в пределах Оршанско-Кокшайской равнины, при автодороге Р176, на расстоянии примерно 8 километров (по прямой) к юго-юго-востоку от Оршанки, административного центра района."
"Абсолютная выс. — 104 м над уровнем моря.","Абсолютная высота — 104 метра над уровнем моря."
"д. находится на северо-востоке центральной части Тамбовской области, в лесостепной зоне, в пределах северо-восточной части Тамбовской равнины, на правом берегу реки б. Ломовис, на расстоянии примерно 14 км (по прямой) к юго-востоку от села Бондари, административного центра района.","Деревня находится на северо-востоке центральной части Тамбовской области, в лесостепной зоне, в пределах северо-восточной части Тамбовской равнины, на правом берегу реки Большой Ломовис, на расстоянии примерно 14 километров (по прямой) к юго-востоку от села Бондари, административного центра района."
"пос. находится в северо-восточной части Самарской области, в пределах Высокого Заволжья, в лесостепной зоне, на левом берегу реки б. Кинель, на расстоянии примерно 29 км (по прямой) к юго-западу от Похвистнева, административного центра района.","Посёлок находится в северо-восточной части Самарской области, в пределах Высокого Заволжья, в лесостепной зоне, на левом берегу реки Большой Кинель, на расстоянии примерно 29 километров (по прямой) к юго-западу от Похвистнева, административного центра района."
"Абсолютная выс. — 48 м над уровнем моря.","Абсолютная высота — 48 метров над уровнем моря."
"Впервые электрический заряд был введён в законе Кл в 1785 г.","Впервые электрический заряд был введён в законе Кулона в 1785 году."
"Единица измерения электрического заряда в Международной системе единиц (СИ) — Кл.","Единица измерения электрического заряда в Международной системе единиц (СИ) — кулон."
"Один Кл равен электрическому заряду, проходящему через поперечное сечение проводника с током силой в 1 А за время 1 с.","Один кулон равен электрическому заряду, проходящему через поперечное сечение проводника с током силой в 1 А за время 1 с."
"Отсутствие колёсной дороги на 250 км от Онгудая до Кош-Агача сдерживало торговлю и препятствовало связям Российской империи в Центральной Азии.","Отсутствие колёсной дороги на 250 километров от Онгудая до Кош-Агача сдерживало торговлю и препятствовало связям Российской империи в Центральной Азии."
"21 августа 1995 года на 106-м км трассы (Черепановский р-н Новосибирская область) микроавтобус «Ниссан» столкнулся с грузовым автомобилем «МАЗ».","21 августа 1995 года на 106-м километре трассы (Черепановский район Новосибирская область) микроавтобус «Ниссан» столкнулся с грузовым автомобилем «МАЗ»."
"д. находится в центральной части Калужской области, в зоне хвойно-широколиственных лесов, в пределах Барятинско-Сухиничской равнины, на правом берегу реки Волоки, на расстоянии примерно 38 км (по прямой) к северо-западу от города Сухиничи, административного центра района.","Деревня находится в центральной части Калужской области, в зоне хвойно-широколиственных лесов, в пределах Барятинско-Сухиничской равнины, на правом берегу реки Волоки, на расстоянии примерно 38 километров (по прямой) к северо-западу от города Сухиничи, административного центра района."
"Абсолютная выс. — 217 м над уровнем моря.","Абсолютная высота — 217 метров над уровнем моря."
"Таким образом, размеры некоторых типов по количеству Б могут совпадать, если будет удовлетворяться условие по минимальному количеству бит.","Таким образом, размеры некоторых типов по количеству байт могут совпадать, если будет удовлетворяться условие по минимальному количеству бит."
"Даже char и long могут иметь одинаковый размер, если один Б будет занимать 32 бита или более, но такие платформы будут очень редки или не будут существовать.","Даже char и long могут иметь одинаковый размер, если один байт будет занимать 32 бита или более, но такие платформы будут очень редки или не будут существовать."
"Стандарт гарантирует, что тип char всегда равен 1 Б.","Стандарт гарантирует, что тип char всегда равен 1 байту."
"Размер Б в битах определяется константой CHAR_BIT из заголовочного файла limits.h, у POSIX-совместимых систем равен 8 битам.","Размер байта в битах определяется константой CHAR_BIT из заголовочного файла limits.h, у POSIX-совместимых систем равен 8 битам."
"Данный тип способен уместить максимально возможное кол-во Б, доступное по указателю, и обычно используется для хранения размера в Б.","Данный тип способен уместить максимально возможное количество байт, доступное по указателю, и обычно используется для хранения размера в байтах."
"Однако все функции, работающие с ASCII-строками, рассматривают каждый символ как Б, что ограничивает применение стандартных функций при использовании данной кодировки.","Однако все функции, работающие с ASCII-строками, рассматривают каждый символ как байт, что ограничивает применение стандартных функций при использовании данной кодировки."
"Поскольку строки являются обычными массивами символов, вместо литералов можно использовать инициализаторы, если каждый символ умещается в 1 Б:","Поскольку строки являются обычными массивами символов, вместо литералов можно использовать инициализаторы, если каждый символ умещается в 1 байт:"
"В форматированном выводе используется спецификатор %ls, однако спецификатор размера, если задан, указывается в Б, а не в символах.","В форматированном выводе используется спецификатор %ls, однако спецификатор размера, если задан, указывается в байтах, а не в символах."
"Существует много разных кодировок, в которых отд. символ может быть запрограммирован разным количеством Б.","Существует много разных кодировок, в которых отдельный символ может быть запрограммирован разным количеством байт."
"Информирование функции о составе фактических параметров лежит на программисте, а для доступа к их значениям необходимо отсчитать правильное кол-во Б от адреса последнего фиксированного параметра в стеке либо вручную, либо пользуясь набором макросов va_arg из заголовочного файла stdarg.h.","Информирование функции о составе фактических параметров лежит на программисте, а для доступа к их значениям необходимо отсчитать правильное количество байтов от адреса последнего фиксированного параметра в стеке либо вручную, либо пользуясь набором макросов va_arg из заголовочного файла stdarg.h."
"Языки программирования Ада, Си, Па = Comparing and Assessong Programming Languages Ada, C, and Pascal / А. Фьюэр, Н. Джехани.","Языки программирования Ада, Си, Паскаль = Comparing and Assessong Programming Languages Ada, C, and Pascal / А. Фьюэр, Н. Джехани."
"Версия M38, оснащённая оптическим прицелом и глушителем QDSS, должна была быть в каждом пехотном отделении для поражения целей на расстоянии до 600 м.","Версия M38, оснащённая оптическим прицелом и глушителем QDSS, должна была быть в каждом пехотном отделении для поражения целей на расстоянии до 600 метров."
"Джонсон в то время расположился с главными силами в 14 км к северу от форта вдоль берега озера Джордж и вскоре был извещён разведчиками о приближении противника.","Джонсон в то время расположился с главными силами в 14 километрах к северу от форта вдоль берега озера Джордж и вскоре был извещён разведчиками о приближении противника."
"Ещё 11 % территории — это участки глубокой воды или каналов, оставшиеся 80 % представляют собой Вт или соляные болота.","Ещё 11 % территории — это участки глубокой воды или каналов, оставшиеся 80 % представляют собой ватты или соляные болота."
"Город находится в северо-восточной части мухафазы, на левом берегу реки Дияла, на высоте 150 м над уровнем моря.","Город находится в северо-восточной части мухафазы, на левом берегу реки Дияла, на высоте 150 метров над уровнем моря."
"Джалаула расположена на расстоянии приблизительно 73 км к северо-востоку от Баакубы, административного центра провинции и на расстоянии 114 км к северо-востоку от Багдада, столицы страны.","Джалаула расположена на расстоянии приблизительно 73 километров к северо-востоку от Баакубы, административного центра провинции и на расстоянии 114 километров к северо-востоку от Багдада, столицы страны."
"Вес памятника — 15 тонн, выс. — 5,7 м.","Вес памятника — 15 тонн, высота — 5,7 метров."
"Радар поиска и наблюдения расположен в задней части крыши башни и имеет дальность действия до 20 км с возможностью идентификации «свой-чужой».","Радар поиска и наблюдения расположен в задней части крыши башни и имеет дальность действия до 20 километров с возможностью идентификации «свой-чужой»."
"Цемиц расположен шестью км северо-западнее Лассана, шестью км юго-юго-западнее Вольгаста и отдалён от Грайфсвальда на 25 км в юго-восточном направлении.","Цемиц расположен шестью километрами северо-западнее Лассана, шестью километрами юго-юго-западнее Вольгаста и отдалён от Грайфсвальда на 25 километров в юго-восточном направлении."
"Так шестью км севернее общины проходит федеральная дорога 111 (нем. Bundesstraße 111 (B 111)), десятью км западнее федеральная дорога 109 (нем. Bundesstraße 109 (B 109)), а девятью км южнее федеральная дорога 110 (нем. Bundesstraße 110 (B 110)).","Так шестью километрами севернее общины проходит федеральная дорога 111 (нем. Bundesstraße 111 (B 111)), десятью километрами западнее федеральная дорога 109 (нем. Bundesstraße 109 (B 109)), а девятью километрами южнее федеральная дорога 110 (нем. Bundesstraße 110 (B 110))."
"д. расположена в нескольких км от Котласа, к северу от автодороги А123.","Деревня расположена в нескольких километрах от Котласа, к северу от автодороги А123."
"Прорастание начинается через с после воздействия индуктора и далее от него не зависит.","Прорастание начинается через секунды после воздействия индуктора и далее от него не зависит."
"Наводчик орудия 277-го гвардейского истребительно-противотанкового артиллерийского полка гвардии старший сержант Николай Чиликин 18 июля 1944 года в бою за населённый пункт Пшевалы (Przewały, ныне Перевалы), располож. в 12-и км северо-западнее города Тужиск (Turzysk), Турийск, Волынской области Украины, несмотря на сильное противодействие противника, вместе с расчётом прямой наводкой подавил огонь четырёх дзотов, двух пулеметов, 75-миллиметровой пушки, подбил автотягач.","Наводчик орудия 277-го гвардейского истребительно-противотанкового артиллерийского полка гвардии старший сержант Николай Чиликин 18 июля 1944 года в бою за населённый пункт Пшевалы (Przewały, ныне Перевалы), расположенный в 12-и километрах северо-западнее города Тужиск (Turzysk), Турийск, Волынской области Украины, несмотря на сильное противодействие противника, вместе с расчётом прямой наводкой подавил огонь четырёх дзотов, двух пулеметов, 75-миллиметровой пушки, подбил автотягач."
