question,answer
"Базовая версия двигателя серии UZ была представлена в августе 1989 г на автомобиле Toyota Crown серии S130, а в октябре 1989 года на Lexus LS (Toyota Celsior) первой серии (UCF10) и была оперативно распространена на другие модели Toyota и Lexus.","Базовая версия двигателя серии UZ была представлена в августе 1989 году на автомобиле Toyota Crown серии S130, а в октябре 1989 года на Lexus LS (Toyota Celsior) первой серии (UCF10) и была оперативно распространена на другие модели Toyota и Lexus."
"1UZ-FE с системой VVT-i входил в десятку лучших двигателей по версии «Ward’s AutoWorld magazin» с 1998 по 2000 г.","1UZ-FE с системой VVT-i входил в десятку лучших двигателей по версии «Ward’s AutoWorld magazin» с 1998 по 2000 год."
"В 2010 г 2UZ-FE с VVT-i заменен двигателями 1UR-FE или 3UR-FE в зависимости от рынка.","В 2010 году 2UZ-FE с VVT-i заменен двигателями 1UR-FE или 3UR-FE в зависимости от рынка."
"В 2000 г флагман модельного ряда Celsior отказался от 4-литрового 1UZ-FE в пользу нового 4,3-литрового двигателя 3UZ-FE.","В 2000 году флагман модельного ряда Celsior отказался от 4-литрового 1UZ-FE в пользу нового 4,3-литрового двигателя 3UZ-FE."
"Николас Мария Фернандес де Кордова-и-де ла Серда (исп. Nicolás María Fernández de Córdoba y de la Cerda; 24 мая 1682, Мадрид — 19 марта 1739, Мадрид), 9-й герцог де Ферия — исп. аристократ.","Николас Мария Фернандес де Кордова-и-де ла Серда (исп. Nicolás María Fernández de Córdoba y de la Cerda; 24 мая 1682, Мадрид — 19 марта 1739, Мадрид), 9-й герцог де Ферия — испанский аристократ."
"В 1700 г наследовал своему бездетному старшему брату Мануэлю Луису как герцог де Ферия.","В 1700 году наследовал своему бездетному старшему брату Мануэлю Луису как герцог де Ферия."
"В 1711 г наследовал своему бездетному дяде герцогу Мединасели, став таким образом одним из крупнейших владетелей в Испании и Европе.","В 1711 году наследовал своему бездетному дяде герцогу Мединасели, став таким образом одним из крупнейших владетелей в Испании и Европе."
"Затем он назначил герцога чрезвычайным послом, отвечавшим за встречу от его им. новой королевы, при которой Николас Мария также был первым рыцарем и старшим майордомом.","Затем он назначил герцога чрезвычайным послом, отвечавшим за встречу от его имени новой королевы, при которой Николас Мария также был первым рыцарем и старшим майордомом."
"Муж (10.08.1728): Хосе Мария де Гусман (1709—1781), маркиз де Монтеалегре, гр. де Оньяте","Муж (10.08.1728): Хосе Мария де Гусман (1709—1781), маркиз де Монтеалегре, граф де Оньяте"
"XII гр. де Лос-Моларес","XII граф де Лос-Моларес"
"гр. де Прадес","граф де Прадес"
"гр. де Ампурьяс","граф де Ампурьяс"
"гр. де Буэндиа","граф де Буэндиа"
"IX гр. де Санта-Гадеа","IX граф де Санта-Гадеа"
"гр. де Вильямюр","граф де Вильямюр"
"Сосновское сельское поселение — муницип. образование в Берёзовского муниципального района Пермского края.","Сосновское сельское поселение — муниципальное образование в Берёзовского муниципального района Пермского края."
"Центр поселения — с. Сосновка — отдален от села Берёзовка на 18 км.","Центр поселения — село Сосновка — отдален от села Берёзовка на 18 км."
"Общая пл. поселения 312,77 кв. км.","Общая площадь поселения 312,77 кв. км."
"На 01.01.2009 в 14 населенных пунктах проживали 1036 чел., в т. числе:","На 01.01.2009 в 14 населенных пунктах проживали 1036 человек, в том числе:"
"дети и подростки — 167 чел.","дети и подростки — 167 человек"
"пенсионеры старше трудового возраста — 262 чел.","пенсионеры старше трудового возраста — 262 человека"
"инвалиды в трудоспособном возрасте — 46 чел.","инвалиды в трудоспособном возрасте — 46 человек"
"трудоспособное нас. — 561 чел.","трудоспособное население — 561 человек."
"Из общей численности трудоспособного населения работало 438 чел., из них:","Из общей численности трудоспособного населения работало 438 человек, из них:"
"в сельском и лесном хозяйстве — 107 чел.","в сельском и лесном хозяйстве — 107 человек"
"в бюджетной сфере — 86 чел.","в бюджетной сфере — 86 человек"
"пожарная охрана — 5 чел.","пожарная охрана — 5 человек"
"потребительский рынок товаров и услуг — 38 чел.","потребительский рынок товаров и услуг — 38 человек"
"транспорт — 2 чел.","транспорт — 2 человека"
"связь — 1 чел.","связь — 1 человек"
"почта — 6 чел.","почта — 6 человек"
"страховой агент — 2 чел.","страховой агент — 2 человека"
"работающих за пределами территории поселения — 190 чел.","работающих за пределами территории поселения — 190 человек"
"Численность неработающих составляет 123 чел., из них 109 чел. состоит в центре занятости населения.","Численность неработающих составляет 123 человека, из них 109 человек состоит в центре занятости населения."
"МОУ «Саинский дет. сад»","МОУ «Саинский детский сад»"
"МОУ «Сосновская основная общеобразовательная школа — дет. сад»","МОУ «Сосновская основная общеобразовательная школа — Детский сад»"
"В начальной школе обучается 39 чел., в среднем звене — 42 ребенка.","В начальной школе обучается 39 человек, в среднем звене — 42 ребенка."
"В сельском поселении проживают 53 ребёнка дошкольного возраста, из них не посещают дет. сад ок. половины — 26 детей.","В сельском поселении проживают 53 ребёнка дошкольного возраста, из них не посещают детский сад около половины — 26 детей."
"В Сосновской школе организован кабинет под краеведч. музей.","В Сосновской школе организован кабинет под краеведческий музей."
"В сельском хозяйстве на 1 января 2009 года работали две организации (ООО «Труд» и ООО «Новый путь») со среднесписочной численностью 81 чел., а также два фермерских хозяйства.","В сельском хозяйстве на 1 января 2009 года работали две организации (ООО «Труд» и ООО «Новый путь») со среднесписочной численностью 81 человек, а также два фермерских хозяйства."
"Годовой объём розничной торговли составляет ок. 15 млн руб.","Годовой объём розничной торговли составляет около 15 миллионов рублей."
"Фоминка — д. в Добрянском районе Пермского края.","Фоминка — деревня в Добрянском районе Пермского края."
"сов. ул.","Советская ул."
"изд. 1977 г.","Издание 1977 г."
"Также в состав дивизии вошли 6000 чел. 29-й гренадёрской дивизии войск СС и небольшое кол-во военнопленных.","Также в состав дивизии вошли 6000 человек 29-й гренадёрской дивизии войск СС и небольшое количество военнопленных."
"нем. командование бросало в бой последние резервы.","Немецкое командование бросало в бой последние резервы."
"Приказ о её переводе в р-н группы армий «Висла» был отдан Гиммлером, на тот момент занимавшим должность командующего резервной армией.","Приказ о её переводе в район группы армий «Висла» был отдан Гиммлером, на тот момент занимавшим должность командующего резервной армией."
"Их кол-во увеличивалось, и было принято решение свести их в полк пятибатальонного состава, к-рый насчитывал 5000 чел.","Их количество увеличивалось, и было принято решение свести их в полк пятибатальонного состава, который насчитывал 5000 человек."
"6 апреля был получен приказ от командующего 9-й армии о подготовке дивизии к наступлению на плацдарм, к-рый вызвал негодование у генерала Буняченко, заявившего, что выполнит его только в случае подтверждения со стороны Власова.","6 апреля был получен приказ от командующего 9-й армии о подготовке дивизии к наступлению на плацдарм, который вызвал негодование у генерала Буняченко, заявившего, что выполнит его только в случае подтверждения со стороны Власова."
"На южном участке атаку на правый фланг 4-й роты капитана В. А. Стекольщикова осуществляли две роты из 1-го батальона капитана Ю. Б. Будерацкого, к-рый принадлежал к 3-му полку власовской дивизии.","На южном участке атаку на правый фланг 4-й роты капитана В. А. Стекольщикова осуществляли две роты из 1-го батальона капитана Ю. Б. Будерацкого, который принадлежал к 3-му полку власовской дивизии."
"ч. атакующих ворвалась в первую траншею, где вспыхнул рукопашный бой.","Часть атакующих ворвалась в первую траншею, где вспыхнул рукопашный бой."
"нем. командование должно быть предупреждено, что если в течение двух суток в дивизию не приедет главнокомандующий Власов, то она выступит на ю. на соединение с другими частями Русской освободительной армии.","Немецкое командование должно быть предупреждено, что если в течение двух суток в дивизию не приедет главнокомандующий Власов, то она выступит на юг на соединение с другими частями Русской освободительной армии."
"Ночью 15 апреля дивизия пошла на ю., в Чехию, где позже приняла участие в Пражском восстании.","Ночью 15 апреля дивизия пошла на юг, в Чехию, где позже приняла участие в Пражском восстании."
"168 чел. защитников плацдарма «Эрленгоф» были представлены к наградам.","168 человек защитников плацдарма «Эрленгоф» были представлены к наградам."
"гл. герой обороны, старший лейтенант И. Ю. Закон приказом штаба 33-й армии № 098/н от 12 мая 1945 года был награждён орденом Отечественной войны I степени.","Главный герой обороны, старший лейтенант И. Ю. Закон приказом штаба 33-й армии № 098/н от 12 мая 1945 года был награждён орденом Отечественной войны I степени."
"Артемьев В. П. Первая дивизия РОА: мат-лы к истории Освободительного движения народов России (1941-1945).","Артемьев В. П. Первая дивизия РОА: материалы к истории Освободительного движения народов России (1941-1945)."
"«Зелёный дом» — неправительственная некоммерческая орг-ция из Хабаровска.","«Зелёный дом» — неправительственная некоммерческая организация из Хабаровска."
"В 2015 г орг-ция прекратило своё существование.","В 2015 году организация прекратило своё существование."
"Компания зарегистрирована в 1998 г, изначально её членами стали учителя Архитектурного лицея, но постепенно ряды компании пополнялись представителями различных профессий.","Компания зарегистрирована в 1998 году, изначально её членами стали учителя Архитектурного лицея, но постепенно ряды компании пополнялись представителями различных профессий."
"Основная деятельность организации в первые гг. заключалась в проведении экологических семинаров и акций, но со временем обрела более широкий контур.","Основная деятельность организации в первые годы заключалась в проведении экологических семинаров и акций, но со временем обрела более широкий контур."
"В 2001 г орг-ция выиграла тендер на регион. центр по благотворительной программе РОЛЛ «Института устойчивых сообществ» из США.","В 2001 году организация выиграла тендер на Региональный центр по благотворительной программе РОЛЛ «Института устойчивых сообществ» из США."
"В 2003 г её сменила Татьяна Коробенко, а затем «Зелёный дом» возглавил Сергей Плешаков.","В 2003 году её сменила Татьяна Коробенко, а затем «Зелёный дом» возглавил Сергей Плешаков."
"В 2012 г получила награду на конкурсе «Импульс добра», за системный подход к социальному предпринимательству.","В 2012 году получила награду на конкурсе «Импульс добра», за системный подход к социальному предпринимательству."
"В результате осуществления проектов «Зелёного дома», к 2012 г в регионе появились дополнительно 200 рабочих мест и более 100 домашних хозяйств, 15 кооперативов, еще ок. 300 сельскохозяйственных предприятий увеличили свои доходы.","В результате осуществления проектов «Зелёного дома», к 2012 году в регионе появились дополнительно 200 рабочих мест и более 100 домашних хозяйств, 15 кооперативов, еще около 300 сельскохозяйственных предприятий увеличили свои доходы."
"Так в селе Алексей-Никольское начали развивать сельский туризм, туристов завлекают продукцией местных сыроваренных заводов: проект получил назв. «Весёлое сыроварня».","Так в селе Алексей-Никольское начали развивать сельский туризм, туристов завлекают продукцией местных сыроваренных заводов: проект получил название «Весёлое сыроварня»."
"А в посёлке Дормидонтовка начали проводить популярный фестиваль варенья, позволивший привлечь в с. дополнит. финансирование.","А в посёлке Дормидонтовка начали проводить популярный фестиваль варенья, позволивший привлечь в село дополнительное финансирование."
"На этих форумах также решаются вопр. инвестирования.","На этих форумах также решаются вопросы инвестирования."
"орг-ция помогала местным общинам в создании сельских кооперативов и сельскохозяйственных предприятий, придумывала, как привлечь покупателя.","Организация помогала местным общинам в создании сельских кооперативов и сельскохозяйственных предприятий, придумывала, как привлечь покупателя."
"Декабристы 21 вв. (недоступная ссылка)","Декабристы 21 века (недоступная ссылка)"
"Филипова А. Г. общ. ИНИЦИАТИВЫ В СЕЛЬСКОЙ МЕСТНОСТИ И ЗАЩИТА ДЕТСТВА (неопр.).","Филипова А. Г. ОБЩЕСТВЕННЫЕ ИНИЦИАТИВЫ В СЕЛЬСКОЙ МЕСТНОСТИ И ЗАЩИТА ДЕТСТВА (неопр.)."
"Guns N' Roses — амер. хард-рок группа, сформированная в Лос-Анджелесе, Калифорния в 1985 г.","Guns N' Roses — американская хард-рок группа, сформированная в Лос-Анджелесе, Калифорния в 1985 году."
"Общемировой тираж пластинок составил более 150 млн копий.","Общемировой тираж пластинок составил более 150 миллионов копий."
"офиц. сайт Guns N' Roses","официальный сайт Guns N' Roses"
"Веребьево — д. в Сухиничском районе Калужской области России.","Веребьево — деревня в Сухиничском районе Калужской области России."
"Входит в состав сельского поселения «с. Брынь».","Входит в состав сельского поселения «Село Брынь»."
"Среднегодовое кол-во атмосферных осадков составляет 654 мм, из которых 441 мм выпадает в период с апреля по окт.","Среднегодовое количество атмосферных осадков составляет 654 мм, из которых 441 мм выпадает в период с апреля по октябрь."
"д. Веребьево, как и вся Калужская область, находится в часовой зоне МСК (моск. время).","Деревня Веребьево, как и вся Калужская область, находится в часовой зоне МСК (московское время)."
"груз. нац. легион (укр. Грузинський національний легіон, груз. ქართული ლეგიონი) — груз. добровольческое диверсионно-разведывательное подразделение, созд. в 2014 г из граждан Грузии.","Грузинский национальный легион (укр. Грузинський національний легіон, груз. ქართული ლეგიონი) — грузинское добровольческое диверсионно-разведывательное подразделение, созданное в 2014 году из граждан Грузии."
"Было создано боевое подразделение под названием «груз. нац. Легион».","Было создано боевое подразделение под названием «Грузинский Национальный Легион»."
"груз. нац. легион в основном выполняет разведывательные и диверсионные задания на территории ЛНР и ДНР.","Грузинский национальный легион в основном выполняет разведывательные и диверсионные задания на территории ЛНР и ДНР."
"10 февраля 2016 года груз. нац. легион вошел в структуру 54-й отдельной механизированной бригады Вооружённых сил Украины.","10 февраля 2016 года Грузинский национальный легион вошел в структуру 54-й отдельной механизированной бригады Вооружённых сил Украины."
"В сообщении говорилось о т., что 16 дек. 2017 года якобы подразделение имеет потери в виде 11 чел. ранеными.","В сообщении говорилось о том, что 16 декабря 2017 года якобы подразделение имеет потери в виде 11 человек ранеными."
"Также сообщалось, что бойцы подразделения вышли из состава 54-й бригады, а трёх чел. оставшихся в составе бригады призвали не ассоциировать в дальнейшем с легионом.","Также сообщалось, что бойцы подразделения вышли из состава 54-й бригады, а трёх человек оставшихся в составе бригады призвали не ассоциировать в дальнейшем с легионом."
"Командир подразделения Мамука Мамулашвили написал, что бойцы Легиона вышли из состава 54-й бригады ещё 20 дек.","Командир подразделения Мамука Мамулашвили написал, что бойцы Легиона вышли из состава 54-й бригады ещё 20 декабря."
"На след. день, 6 января 2018 года, командование 54-й бригады заявило, что отдельного подразделения под названием «груз. нац. легион», в составе 54-й ОМБр, никогда не существовало.","На следующий день, 6 января 2018 года, командование 54-й бригады заявило, что отдельного подразделения под названием «Грузинский национальный легион», в составе 54-й ОМБр, никогда не существовало."
"В июне 2024 года «груз. нац. легион» был признан Южным окружным военным судом РФ террористической организацией.","В июне 2024 года «Грузинский национальный легион» был признан Южным окружным военным судом РФ террористической организацией."
"Издания The New York Times и Reuters подтвердили его подлинность и заявили, что действие происходит в селе Дмитровка ок. Киева.","Издания The New York Times и Reuters подтвердили его подлинность и заявили, что действие происходит в селе Дмитровка около Киева."
"На видео показано, что укр. солдат дважды стреляет в российского военнослужащего, лежащего на земле.","На видео показано, что украинский солдат дважды стреляет в российского военнослужащего, лежащего на земле."
"Рядом с солдатом были показаны трое погибших российских солдат, в т. числе один с ранением головы и связанными за спиной руками.","Рядом с солдатом были показаны трое погибших российских солдат, в том числе один с ранением головы и связанными за спиной руками."
"Провластные рос. Telegram-каналы заявили, что один из военных на видео — Теймураз Хизанишвили из Грузинского легиона.","Провластные российские Telegram-каналы заявили, что один из военных на видео — Теймураз Хизанишвили из Грузинского легиона."
"Просто вырвали все из контекста, я не сомневался, что рос. СМИ так и поступят.","Просто вырвали все из контекста, я не сомневался, что российские СМИ так и поступят."
"Что касается видеозаписи, возможно, это рос. фейк, и там вовсе нет украинцев».","Что касается видеозаписи, возможно, это российский фейк, и там вовсе нет украинцев»."
"В августе 2022 года в другом интервью Мамулашвили заявил, что «особенно ценятся военнопленные чеченского происхождения, их обменивают букв. за неск. часов».","В августе 2022 года в другом интервью Мамулашвили заявил, что «особенно ценятся военнопленные чеченского происхождения, их обменивают буквально за несколько часов»."
"Пленных груз. легион, согласно Мамулашвили, передает украинским спецслужбам.","Пленных Грузинский легион, согласно Мамулашвили, передает украинским спецслужбам."
"Министр иностранных дел Украины Дмитрий Кулеба и през. Украины Владимир Зеленский осудили военные преступления и пообещали провести расследование.","Министр иностранных дел Украины Дмитрий Кулеба и президент Украины Владимир Зеленский осудили военные преступления и пообещали провести расследование."
"Даниело Джованни «Дэниел Дж.» Траванти (англ. Danielo Giovanni «Daniel J.» Travanti; род. 7 марта 1940, Кеноша, Висконсин, США) — амер. актёр.","Даниело Джованни «Дэниел Дж.» Траванти (англ. Danielo Giovanni «Daniel J.» Travanti; род. 7 марта 1940, Кеноша, Висконсин, США) — американский актёр."
"Траванти род. в городе Кеноша, штат Висконсин.","Траванти родился в городе Кеноша, штат Висконсин."
"В подростковом возрасте был спортсменом и хорошо учился, получая стипендии Гарварда, Принстона и Дартмутского колледжа, но в итоге он поступил в Висконсинский ун-т в Мадисоне.","В подростковом возрасте был спортсменом и хорошо учился, получая стипендии Гарварда, Принстона и Дартмутского колледжа, но в итоге он поступил в Висконсинский университет в Мадисоне."
"В 1957, за г до поступления в ун-т, принял участие в государственной программе для молодёжных лидеров Badger Boys State в качестве представителя от своей школы.","В 1957, за год до поступления в университет, принял участие в государственной программе для молодёжных лидеров Badger Boys State в качестве представителя от своей школы."
"В 1964 г Траванти появляется в телесериале о журналистике «Репортёр» в одной из главных ролей в эпизоде Murder by Scandal.","В 1964 году Траванти появляется в телесериале о журналистике «Репортёр» в одной из главных ролей в эпизоде Murder by Scandal."
"Появлялся в эпизодических ролях в сериалах «Перри Мейсон», «чел. от Д. Я. Д. И.», «Коджак» и ряде других.","Появлялся в эпизодических ролях в сериалах «Перри Мейсон», «Человек от Д. Я. Д. И.», «Коджак» и ряде других."
"В начале 80-х в карьере Траванти произошёл прорыв благодаря роли капитана Фрэнка Фурилло в сериале «Блюз Хилл стрит», за которую он получил «зол. глобус» и две премии «Эмми».","В начале 80-х в карьере Траванти произошёл прорыв благодаря роли капитана Фрэнка Фурилло в сериале «Блюз Хилл стрит», за которую он получил «Золотой глобус» и две премии «Эмми»."
"В 1983 г снялся в телефильме Адам с ДжоБет Уильямс, за которую он получил номинацию на «Эмми».","В 1983 году снялся в телефильме Адам с ДжоБет Уильямс, за которую он получил номинацию на «Эмми»."
"В 1986 г сыграл Эдварда Р. Мэроу в телефильме HBO «Мэроу».","В 1986 году сыграл Эдварда Р. Мэроу в телефильме HBO «Мэроу»."
"Несмотря на то, что об-во анонимных алкоголиков держит в тайне имена членов своих групп, Траванти публично признал свои проблемы с алкоголем в прошлом, найдя выход из этой ситуации через анонимных алкоголиков, позже признав алкоголизм «болезнью одиночества и тайны».","Несмотря на то, что общество анонимных алкоголиков держит в тайне имена членов своих групп, Траванти публично признал свои проблемы с алкоголем в прошлом, найдя выход из этой ситуации через анонимных алкоголиков, позже признав алкоголизм «болезнью одиночества и тайны»."
"Об этом он сказал в 1981 г в интервью на канале NBC и даже зачитал наизусть все пункты из программы по борьбе с алкоголем «Двенадцать шагов».","Об этом он сказал в 1981 году в интервью на канале NBC и даже зачитал наизусть все пункты из программы по борьбе с алкоголем «Двенадцать шагов»."
"В 2010 г появился в эпизоде телесериала «Мыслить как преступник», изобразив 75-летнего серийного убийцу с болезнью Альцгеймера.","В 2010 году появился в эпизоде телесериала «Мыслить как преступник», изобразив 75-летнего серийного убийцу с болезнью Альцгеймера."
"Allobates (лат.) — род бесхвостых земноводных из семейства Aromobatidae, единств. в подсемействе Aromobatinae.","Allobates (лат.) — род бесхвостых земноводных из семейства Aromobatidae, единственный в подсемействе Aromobatinae."
