abbreviation,encounters
уник.,134
академич.,129
исслед.,124
соч.,123
араб.,122
христ.,120
дол.,119
кирп.,118
татар.,117
хоз.,117
урал.,116
объед.,115
письм.,115
иностр.,114
док-т,114
архитект.,113
республ.,112
строит.,112
прилож.,111
общ.,109
илл.,109
петерб.,108
революц.,108
фин.,107
четв.,106
болг.,105
опубл.,105
географич.,105
персон.,104
монг.,101
азерб.,101
п-ов,100
публич.,99
м,99
псевд.,97
норв.,97
сост.,96
производств.,96
археологич.,95
с.-петерб.,95
преп.,95
наб.,94
издат.,94
правительств.,92
всерос.,92
дис.,91
иллюстрир.,91
голл.,91
нидерл.,91
искусств.,90
т-во,90
яросл.,89
эксперимент.,88
башк.,87
публ.,87
экологич.,86
корр.,86
визант.,85
торжеств.,84
пгр.,83
бельг.,83
просв.,82
стан.,82
философ.,82
индивид.,82
комм.,81
всесоюз.,79
прикл.,79
образоват.,78
эт.,78
кавказ.,77
цв.,76
км,74
специализир.,74
благотворит.,74
слав.,73
перc.,72
крест.,72
ср.-век.,71
универс.,69
этнич.,69
бульв.,69
фактич.,68
прим.,68
метал.,66
дипломатич.,63
тов.,62
этнографич.,61
уезд.,60
организац.,58
филологич.,57
теоретич.,57
вспомогат.,55
разл.,54
графич.,54
декор.,54
послед.,52
чечен.,52
звук.,52
наим.,50
заключ.,50
скульпт.,50
кап.,50
эмоц.,49
предисл.,49
альм.,47
губ.,46
централиз.,45
позд.,45
аналитич.,44
печ.,42
систематич.,42
справоч.,42
переим.,40
бюлл.,40
фундамент.,39
заруб.,39
функц.,39
мрам.,39
сузд.,38
качеств.,38
азиат.,38
тематич.,36
библ.,36
сохр.,34
провинц.,33
чуваш.,33
бум.,33
идеологич.,32
стекл.,31
пожизн.,30
потомств.,30
изобразит.,30
органич.,29
эстетич.,29
якут.,28
старослав.,28
будд.,26
фотогр.,26
экспедиц.,26
др.-рус.,26
мифол.,25
периодич.,25
методич.,25
монумент.,24
наруж.,24
см.,23
яз-знание,23
многочисл.,22
мордов.,22
княж.,21
учрежд.,21
артистич.,20
количеств.,20
коллекц.,20
трлн,19
драг.,19
испр.,19
осет.,18
черкес.,18
языч.,17
епарх.,16
фольк.,16
старообрядч.,15
пластич.,14
синтетич.,14
флам.,13
стихотв.,13
керамич.,13
ведомств.,12
редакц.,12
эволюц.,12
сканд.,12
ингуш.,11
лит-ведение,11
купеч.,11
abbreviation,11
перераб.,11
стилистич.,10
подмоск.,10
чугун.,10
аристократич.,10
хронолоrич.,9
реконстр.,9
зап.-европ.,9
кириллич.,9
отт.,9
экспозиц.,8
размещ.,8
веществ.,8
послесл.,8
реорганиз.,8
нумизматич.,8
эксп.,8
высококачеств.,7
преим.,7
терминологич.,7
полиграф.,7
орнамент.,7
догматич.,7
см,7
ежекварт.,7
прижизн.,7
словесн.,6
социологич.,6
квалифицир.,6
специфич.,6
методологич.,5
конфиск.,5
загран.,4
кн-во,4
археогр.,4
реставрац.,3
синод.,3
лекц.,3
театрализ.,3
гуманистич.,2
классификац.,2
у.,2
зап.-сиб.,2
яз-ведение,1
реставр.,1
национализ.,1
невостреб.,1
систематизир.,1
др.-христ.,1
декорац.,1
типологич.,1
