"В последние годы существования империи Хань город стал оплотом ¥ Шао.","В последние годы существования империи Хань город стал оплотом Юань Шао."
"Цифровой ¥ («цифровая версия ¥»; англ.","Цифровой юань («цифровая версия юаня»; англ."
"Финансовые учреждения конвертировали часть своих депозитов в Центральном банке в цифровой ¥ и определили сектора экономики для его продвижения.","Финансовые учреждения конвертировали часть своих депозитов в Центральном банке в цифровой юань и определили сектора экономики для его продвижения."
"«Чао» (англ. Ciao) — фильм-драма режиссёра ¥ Тана, короткая история романтических отношений двух мужчин, которых свела вместе внезапная смерть их общего друга.","«Чао» (англ. Ciao) — фильм-драма режиссёра Йена Тана, короткая история романтических отношений двух мужчин, которых свела вместе внезапная смерть их общего друга."
"Изучал филологию в университетах ¥, Лейпцига и Бонна.","Изучал филологию в университетах Йены, Лейпцига и Бонна."
"Каролина Луиза Зейдлер (Зайдлер) (нем. Caroline Louise Seidler; 15 мая 1786, ¥, Саксен-Веймар — 7 октября 1866, Веймар) — немецкая художница: живописец и рисовальщица пастелью при дворе великих герцогов Веймарских, хранительница герцогской коллекции произведений искусства, доверенное лицо и надёжная подруга поэта Гёте и живописца Георга Фридриха Керстинга.","Каролина Луиза Зейдлер (Зайдлер) (нем. Caroline Louise Seidler; 15 мая 1786, Йена, Саксен-Веймар — 7 октября 1866, Веймар) — немецкая художница: живописец и рисовальщица пастелью при дворе великих герцогов Веймарских, хранительница герцогской коллекции произведений искусства, доверенное лицо и надёжная подруга поэта Гёте и живописца Георга Фридриха Керстинга."
"¥ (фр. Iéna) — французский эскадренный броненосец, заложенный в конце XIX и введенный в строй начале XX столетия.","Йена (фр. Iéna) — французский эскадренный броненосец, заложенный в конце XIX и введенный в строй начале XX столетия."
"Ингрид Ауэрсвальд(-Ланге) (Брестрих(-Ланге)) (девичья фамилия Брестрих, нем. Ingrid Auerswald-Lange; род. 2 сентября 1957, ¥, Гера) — немецкая (ГДР) бегунья на короткие дистанции, чемпионка Европы и мира, победительница Кубков Европы, победительница и призёр Кубков мира, чемпионка и призёр Олимпийских игр, рекордсменка мира и Олимпийских игр, участница двух Олимпиад.","Ингрид Ауэрсвальд(-Ланге) (Брестрих(-Ланге)) (девичья фамилия Брестрих, нем. Ingrid Auerswald-Lange; род. 2 сентября 1957, Йена, Гера) — немецкая (ГДР) бегунья на короткие дистанции, чемпионка Европы и мира, победительница Кубков Европы, победительница и призёр Кубков мира, чемпионка и призёр Олимпийских игр, рекордсменка мира и Олимпийских игр, участница двух Олимпиад."
"Сунь Цзянь (кит. трад. 孫堅, упр. 孙坚, пиньинь Sūn Jiān; 155 — 191 взрослое имя Вэньтай (кит. трад. 文臺) — полководец эпохи Троецарствия, который вместе с ¥ Шао и Цао Цао противостоял тираническим устремлениям могущественного Дун Чжо.","Сунь Цзянь (кит. трад. 孫堅, упр. 孙坚, пиньинь Sūn Jiān; 155 — 191 взрослое имя Вэньтай (кит. трад. 文臺) — полководец эпохи Троецарствия, который вместе с Юань Шао и Цао Цао противостоял тираническим устремлениям могущественного Дун Чжо."
"Жуа́нь Цзи, или ¥ Цзи (кит. трад. 阮籍, пиньинь Ruǎn Jí, 210—263) — китайский поэт и философ эпохи троецарствия.","Жуа́нь Цзи, или Юань Цзи (кит. трад. 阮籍, пиньинь Ruǎn Jí, 210—263) — китайский поэт и философ эпохи троецарствия."
"Дун ¥ является одним из великих мастеров классического китайского пейзажа периода его расцвета.","Дун Юань является одним из великих мастеров классического китайского пейзажа периода его расцвета."
"Дун ¥ известен в первую очередь своими монохромными пейзажами, но он писал не только монохромные произведения, но и цветные, выдержанные в традиции, идущей от Ли Сысюня.","Дун Юань известен в первую очередь своими монохромными пейзажами, но он писал не только монохромные произведения, но и цветные, выдержанные в традиции, идущей от Ли Сысюня."
"В статье приводится список императоров монгольской династии ¥.","В статье приводится список императоров монгольской династии Юань."
"«Летучий отряд Скотланд-Ярда» (англ. The Sweeney) — британский криминальный боевик режиссёра Ника Лава, основанный на одноименном телесериале 1970-х годов режиссёра ¥ Кеннеди Мартин.","«Летучий отряд Скотланд-Ярда» (англ. The Sweeney) — британский криминальный боевик режиссёра Ника Лава, основанный на одноименном телесериале 1970-х годов режиссёра Йен Кеннеди Мартин."
"Общий объём инвестиций — 16 миллиардов ¥, при этом строительство новой двухпутной линии между Чунцином и Фулином требует инвестиций 5.43 миллиарда ¥.","Общий объём инвестиций — 16 миллиардов юаней, при этом строительство новой двухпутной линии между Чунцином и Фулином требует инвестиций 5.43 миллиарда юаней."
"Чжэн Тинъю́й, также Чжэн Тин-юй (кит. 鄭定玉; ? — ок. 1330) — китайский драматург эпохи ¥, автор драмы «Знак „терпение“».","Чжэн Тинъю́й, также Чжэн Тин-юй (кит. 鄭定玉; ? — ок. 1330) — китайский драматург эпохи Юань, автор драмы «Знак „терпение“»."
"¥ Каннинг (англ. Iain Canning; род. 23 июля 1979 года) — английский кинопродюсер, наиболее известный благодаря продюсированию фильма «Король говорит!» (2010), за которую он получил премию Оскар как за лучшую картину и награды BAFTA за лучший фильм и лучший британский фильм.","Йен Каннинг (англ. Iain Canning; род. 23 июля 1979 года) — английский кинопродюсер, наиболее известный благодаря продюсированию фильма «Король говорит!» (2010), за которую он получил премию Оскар как за лучшую картину и награды BAFTA за лучший фильм и лучший британский фильм."
"Тогон-Тэмур (монг. Тогоонтөмөр; 25 мая 1320 — 23 мая 1370) — последний император монгольской империи ¥ (китайское храмовое имя — Шунь-ди; кит. трад. 順帝, упр. 顺帝, пиньинь Shùndì, или император Хуэйцзун; кит. упр. 惠宗, пиньинь Huìzōng); девизы правления — Чжишунь (1333), Юаньтун (1333—1335), Чжиюань (1335—1340), Чжичжэн (1340—1368), Чжиюань (1368—1370), пятнадцатый каган Монгольской империи (монгольское храмовое имя — Ухагату-хаган; среднемонг.: Uqaɤantu qaɤan, монг.","Тогон-Тэмур (монг. Тогоонтөмөр; 25 мая 1320 — 23 мая 1370) — последний император монгольской империи Юань (китайское храмовое имя — Шунь-ди; кит. трад. 順帝, упр. 顺帝, пиньинь Shùndì, или император Хуэйцзун; кит. упр. 惠宗, пиньинь Huìzōng); девизы правления — Чжишунь (1333), Юаньтун (1333—1335), Чжиюань (1335—1340), Чжичжэн (1340—1368), Чжиюань (1368—1370), пятнадцатый каган Монгольской империи (монгольское храмовое имя — Ухагату-хаган; среднемонг.: Uqaɤantu qaɤan, монг."
"Аюшридара Билигту-хан (монг. Билэгт хаан Аюушридар; 1338—1378) — Великий хан Северной ¥ (1370—1378), старший сын монгольского хана Тогон-Тэмура и кореянки Олджэй-хутуг.","Аюшридара Билигту-хан (монг. Билэгт хаан Аюушридар; 1338—1378) — Великий хан Северной Юань (1370—1378), старший сын монгольского хана Тогон-Тэмура и кореянки Олджэй-хутуг."
"Хуго Шмайссер (нем. Hugo Schmeisser; 24 сентября 1884 года, ¥ — 12 сентября 1953 года, Эрфурт) — немецкий конструктор стрелкового оружия, руководитель фирм по производству огнестрельного и пневматического оружия.","Хуго Шмайссер (нем. Hugo Schmeisser; 24 сентября 1884 года, Йена — 12 сентября 1953 года, Эрфурт) — немецкий конструктор стрелкового оружия, руководитель фирм по производству огнестрельного и пневматического оружия."
"Вильгельм Рейн (нем. Wilhelm Rein; 10 августа 1847[…], Эйзенах, Саксен-Веймар-Эйзенах — 19 февраля 1929[…], ¥, Тюрингия) — немецкий педагог и теоретик образования, принадлежавший к школе Гербарта.","Вильгельм Рейн (нем. Wilhelm Rein; 10 августа 1847[…], Эйзенах, Саксен-Веймар-Эйзенах — 19 февраля 1929[…], Йена, Тюрингия) — немецкий педагог и теоретик образования, принадлежавший к школе Гербарта."
"Родился в Айзенахе, учился в Гейдельберге, Лейпциге и ¥, затем несколько лет были учителем в Веймаре и с 1876 до 1886 года был директором школы в Айзенахе.","Родился в Айзенахе, учился в Гейдельберге, Лейпциге и Йене, затем несколько лет были учителем в Веймаре и с 1876 до 1886 года был директором школы в Айзенахе."
"В октябре 1921 года шведский учёный Юхан Андерсон вместе с китайским учёным ¥ Фули и другими начал раскопки в деревне Яншао, расположенной в уезде Мяньчи городского округа Саньмэнься провинции Хэнань Китая, ныне это место называется Реликвии деревни Яншао (кит. упр. 仰韶村遗址).","В октябре 1921 года шведский учёный Юхан Андерсон вместе с китайским учёным Юань Фули и другими начал раскопки в деревне Яншао, расположенной в уезде Мяньчи городского округа Саньмэнься провинции Хэнань Китая, ныне это место называется Реликвии деревни Яншао (кит. упр. 仰韶村遗址)."
"Туг-Тэмур (монг. Төвтөмөр; 16 февраля 1304 — 2 сентября 1332) — восьмой император династии ¥ (китайское храмовое имя — Вэнь-цзун); девиз правления — Тяньли (1328—1329, 1329—1332) и двенадцатый каган Монгольской империи (монгольское храмовое имя — Джаяту-хаган; монг.","Туг-Тэмур (монг. Төвтөмөр; 16 февраля 1304 — 2 сентября 1332) — восьмой император династии Юань (китайское храмовое имя — Вэнь-цзун); девиз правления — Тяньли (1328—1329, 1329—1332) и двенадцатый каган Монгольской империи (монгольское храмовое имя — Джаяту-хаган; монг."
"Иоганн Христофор Либерт (Либертус; 1699, Хайна, Северная Саксония — 1 августа 1757, ¥, Саксен-Веймар) — немецкий и российский астроном.","Иоганн Христофор Либерт (Либертус; 1699, Хайна, Северная Саксония — 1 августа 1757, Йена, Саксен-Веймар) — немецкий и российский астроном."
"Фридрих Ортлоф (нем. Friedrich Ortloff; 10 октября 1797, Эрланген — 10 октября 1868, ¥) — германский юрист, учёный-правовед, научный писатель, преподаватель, президент Высшего апелляционного суда в ¥.","Фридрих Ортлоф (нем. Friedrich Ortloff; 10 октября 1797, Эрланген — 10 октября 1868, Йена) — германский юрист, учёный-правовед, научный писатель, преподаватель, президент Высшего апелляционного суда в Йене."
"Как учёный и как юрист-практик пользовался большим авторитетом и предпринимал значительные усилия по либерализации прецедентного права в ¥; после революционных событий 1848 года принимал в 1848—1849 годах участие в разработке уголовного и уголовно-процессуального кодексов Тюрингии, вступивших в силу в 1850 году, а в 1856 году был представителем Тюрингии в ходе разработки гражданского кодекса Саксонии.","Как учёный и как юрист-практик пользовался большим авторитетом и предпринимал значительные усилия по либерализации прецедентного права в Йене; после революционных событий 1848 года принимал в 1848—1849 годах участие в разработке уголовного и уголовно-процессуального кодексов Тюрингии, вступивших в силу в 1850 году, а в 1856 году был представителем Тюрингии в ходе разработки гражданского кодекса Саксонии."
"В результате укрепления курса валюты стоимость оборудования, импортируемого из Японии, выросла до 1,5 млн ¥.", "В результате укрепления курса валюты стоимость оборудования, импортируемого из Японии, выросла до 1,5 млн йен."
"Фонд выделил грант на исследования в области экологии на сумму 300 000 ¥, что позволило приступить к первым этапам работы.", "Фонд выделил грант на исследования в области экологии на сумму 300 000 йен, что позволило приступить к первым этапам работы."
"Стоимость перелёта и проживания для бизнес-партнеров из Токио составила около 50 000 ¥.", "Стоимость перелёта и проживания для бизнес-партнеров из Токио составила около 50 000 йен."
"Общий объём инвестиций в проект достиг 2 млн ¥, что позволило расширить исследовательскую базу компании.", "Общий объём инвестиций в проект достиг 2 млн йен, что позволило расширить исследовательскую базу компании."
"За аренду офиса в центре Токио компания заплатила 500 000 ¥, что составляет значительную часть бюджета.", "За аренду офиса в центре Токио компания заплатила 500 000 йен, что составляет значительную часть бюджета."
"Для поддержки стартапов в Японии правительство выделило около 1 млн ¥.", "Для поддержки стартапов в Японии правительство выделило около 1 млн йен."
"Из-за роста спроса на продукцию стоимость сырья увеличилась до 2000 ¥ за килограмм.", "Из-за роста спроса на продукцию стоимость сырья увеличилась до 2000 йен за килограмм."
"Для участия в конференции в Токио было выделено 150 000 ¥ на покрытие расходов.", "Для участия в конференции в Токио было выделено 150 000 йен на покрытие расходов."
"Стоимость лицензии на использование программного обеспечения составляет около 1000 ¥ в месяц.", "Стоимость лицензии на использование программного обеспечения составляет около 1000 йен в месяц."
"На проведение маркетинговой кампании в регионе выделено 500 000 ¥.", "На проведение маркетинговой кампании в регионе выделено 500 000 йен."

