"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2011 — вторая стадия высшей группы регионального турнира Кубка Федерации в €-африканской зоне.","Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2011 — вторая стадия высшей группы регионального турнира Кубка Федерации в евро-африканской зоне."
"Ремикс от Junkie XL «And Then We Kiss» — это €-транс песня с влиянием техно и использованием дэнс-рок гитар, синтезаторов и симфонических струнных инструментов.","Ремикс от Junkie XL «And Then We Kiss» — это евро-транс песня с влиянием техно и использованием дэнс-рок гитар, синтезаторов и симфонических струнных инструментов."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Рекордные футбольные трансферы в истории чемпионата России по годам по номиналу в € без учёта инфляции.","Рекордные футбольные трансферы в истории чемпионата России по годам по номиналу в евро без учёта инфляции."
"Игры в группе A на €-2000 проходили с 12 по 20 июня.","Игры в группе A на Евро-2000 проходили с 12 по 20 июня."
"В апреле 2015 года на территории муниципалитета начались работы по предотвращению эрозии берегов Тирона, на которые было выделено свыше 220 тысяч €.","В апреле 2015 года на территории муниципалитета начались работы по предотвращению эрозии берегов Тирона, на которые было выделено свыше 220 тысяч евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Десять лет спустя французы, возглавляемые Эме Жаке, начали с бронзовых медалей €-96, затем победили в финале домашнего чемпионата мира 1998 года.","Десять лет спустя французы, возглавляемые Эме Жаке, начали с бронзовых медалей Евро-96, затем победили в финале домашнего чемпионата мира 1998 года."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Отборочный турнир €-2016 проходил с сентября 2014 по ноябрь 2015 года и определил участников чемпионата Европы по футболу 2016 года, проводимого во Франции.","Отборочный турнир Евро-2016 проходил с сентября 2014 по ноябрь 2015 года и определил участников чемпионата Европы по футболу 2016 года, проводимого во Франции."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Золотые и серебряные монеты € специальные монеты € выпускаемые каждой страной Еврозоны, из золота и серебра, а также других металлов.","Золотые и серебряные монеты евро специальные монеты евро выпускаемые каждой страной Еврозоны, из золота и серебра, а также других металлов."
"Эти монеты принимаются к оплате только на территории Мальты, помимо монет € Мальты регулярной чеканки, которые принимаются к оплате всеми странами Еврозоны.","Эти монеты принимаются к оплате только на территории Мальты, помимо монет евро Мальты регулярной чеканки, которые принимаются к оплате всеми странами Еврозоны."
"Коллекционные монеты € Мальты посвящены годовщинам различных событий и историческим событиям.","Коллекционные монеты евро Мальты посвящены годовщинам различных событий и историческим событиям."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Игры в группе A на €-2000 проходили с 12 по 20 июня.","Игры в группе A на Евро-2000 проходили с 12 по 20 июня."
"В связи с участием сборной России в финальном турнире €-2008 первая часть чемпионата проходила с 14 марта по 16 мая, вторая часть — со 2 июля по 23 ноября.","В связи с участием сборной России в финальном турнире Евро-2008 первая часть чемпионата проходила с 14 марта по 16 мая, вторая часть — со 2 июля по 23 ноября."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Вручение данных наград происходит после того, как получатель заплатит сумму в размере 10 тысяч €.","Вручение данных наград происходит после того, как получатель заплатит сумму в размере 10 тысяч евро."
"Основным отличием от предыдущей модели является применение двигателя ЯМЗ-7511.10-18 (соответствующего нормам €-2) вместо устаревшего В-31, а также новой кабиной, имеющей увеличенный объём и лучший обзор для оператора.","Основным отличием от предыдущей модели является применение двигателя ЯМЗ-7511.10-18 (соответствующего нормам Евро-2) вместо устаревшего В-31, а также новой кабиной, имеющей увеличенный объём и лучший обзор для оператора."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Открытый чемпионат Женевы по теннису — 16-й розыгрыш ежегодного профессионального теннисного турнира среди мужчин, проводящегося в Швейцарии городе Женеве, и являющегося частью Тура ATP в рамках серии ATP 250 с призовым фондом в размере около 560 тысяч € и турнирной сеткой, рассчитанной на 28 участников в одиночном разряде и 16 пар.","Открытый чемпионат Женевы по теннису — 16-й розыгрыш ежегодного профессионального теннисного турнира среди мужчин, проводящегося в Швейцарии городе Женеве, и являющегося частью Тура ATP в рамках серии ATP 250 с призовым фондом в размере около 560 тысяч евро и турнирной сеткой, рассчитанной на 28 участников в одиночном разряде и 16 пар."
"Для поддержки студенческих обменов было выделено 1,5 млн €, что позволило увеличить число участников программы.", "Для поддержки студенческих обменов было выделено 1,5 млн евро, что позволило увеличить число участников программы."
"На строительство нового университетского кампуса планируется потратить около 20 млн €, что обеспечит учебные места для тысяч студентов.", "На строительство нового университетского кампуса планируется потратить около 20 млн евро, что обеспечит учебные места для тысяч студентов."
"Благодаря гранту в 500 000 € удалось провести уникальные исследования в области медицины.", "Благодаря гранту в 500 000 евро удалось провести уникальные исследования в области медицины."
"Стоимость реставрации исторического памятника составила около 3 млн €, что потребовало тщательной планировки бюджета.", "Стоимость реставрации исторического памятника составила около 3 млн евро, что потребовало тщательной планировки бюджета."
"Компания получила заказ на поставку оборудования на сумму 7 млн €, что повысит её конкурентоспособность на международном рынке.", "Компания получила заказ на поставку оборудования на сумму 7 млн евро, что повысит её конкурентоспособность на международном рынке."
"На ремонт дорог в регионе было выделено 2 млн €, что значительно улучшит транспортное сообщение.", "На ремонт дорог в регионе было выделено 2 млн евро, что значительно улучшит транспортное сообщение."
"Благотворительный фонд выделил грант в размере 1 млн €, чтобы помочь пострадавшим от наводнения.", "Благотворительный фонд выделил грант в размере 1 млн евро, чтобы помочь пострадавшим от наводнения."
"Для развития бизнеса в регионе было предложено финансирование в размере 500 000 €, что поможет создать новые рабочие места.", "Для развития бизнеса в регионе было предложено финансирование в размере 500 000 евро, что поможет создать новые рабочие места."
"Объем инвестиций в проект достиг 10 млн €, что позволило запустить производство с нуля.", "Объем инвестиций в проект достиг 10 млн евро, что позволило запустить производство с нуля."
"На улучшение экологии было выделено 5 млн €, что стало возможным благодаря международному сотрудничеству.", "На улучшение экологии было выделено 5 млн евро, что стало возможным благодаря международному сотрудничеству."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Размер премии составляет 5 тысяч € и она вручается начиная с 2014 года один раз в два года выдающимся деятелям серболужицкой культуры и науки.","Размер премии составляет 5 тысяч евро и она вручается начиная с 2014 года один раз в два года выдающимся деятелям серболужицкой культуры и науки."
"Чемпионат Европы по футболу 2008 года, обычно называемый «€-2008», — 13-й по счёту футбольный турнир для европейских стран, проходящий раз в четыре года под эгидой УЕФА.","Чемпионат Европы по футболу 2008 года, обычно называемый «Евро-2008», — 13-й по счёту футбольный турнир для европейских стран, проходящий раз в четыре года под эгидой УЕФА."
"Банкноты € — банкноты валюты еврозоны (€).","Банкноты евро — банкноты валюты еврозоны (евро)."
"В настоящее время Золотой киноприз (фонд 500 000 €), Серебряный киноприз (425 000 €) и Бронзовый киноприз (375 000 €) присуждаются за три лучших художественных фильма в порядке убывания.","В настоящее время Золотой киноприз (фонд 500 000 евро), Серебряный киноприз (425 000 евро) и Бронзовый киноприз (375 000 евро) присуждаются за три лучших художественных фильма в порядке убывания."
"Ватикан как уникальное государство не участвует в большинстве проектов ЕС, но использует € в качестве валюты и выпускает собственные монеты €.","Ватикан как уникальное государство не участвует в большинстве проектов ЕС, но использует евро в качестве валюты и выпускает собственные монеты евро."
"Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2012 — вторая стадия высшей группы регионального турнира Кубка Федерации в €-африканской зоне.","Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2012 — вторая стадия высшей группы регионального турнира Кубка Федерации в евро-африканской зоне."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Летом 2012 года фреску огородили, и церковь стала водить к ней экскурсии, взимая символическую плату в 3 €.","Летом 2012 года фреску огородили, и церковь стала водить к ней экскурсии, взимая символическую плату в 3 евро."
"Плата за вход на территорию парка, которая ранее варьировалась от 5 до 32 € с человека, в 2014 году отменена, а новинкой сезона стал аттракцион под названием «High Voltage».","Плата за вход на территорию парка, которая ранее варьировалась от 5 до 32 евро с человека, в 2014 году отменена, а новинкой сезона стал аттракцион под названием «High Voltage»."
"По состоянию на начало 2019 года объём находящихся в обращении обеспеченных облигаций по всему миру составлял 2 577 млрд €, в то время как крупнейшими рынками были Дания (406 млрд €), Германия (370 млрд €), Франция (321 млрд €) и Испания (232 млрд €).","По состоянию на начало 2019 года объём находящихся в обращении обеспеченных облигаций по всему миру составлял 2 577 млрд евро, в то время как крупнейшими рынками были Дания (406 млрд евро), Германия (370 млрд евро), Франция (321 млрд евро) и Испания (232 млрд евро)."
"Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2011 — вторая стадия высшей группы регионального турнира Кубка Федерации в €-африканской зоне.","Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2011 — вторая стадия высшей группы регионального турнира Кубка Федерации в евро-африканской зоне."
"Стоимость реликвии в 2017 году оценивалась в 1 млн. $ или 1 млн. €..","Стоимость реликвии в 2017 году оценивалась в 1 млн. долларов или 1 млн. евро.."
"Ремикс от Junkie XL «And Then We Kiss» — это €-транс песня с влиянием техно и использованием дэнс-рок гитар, синтезаторов и симфонических струнных инструментов.","Ремикс от Junkie XL «And Then We Kiss» — это евро-транс песня с влиянием техно и использованием дэнс-рок гитар, синтезаторов и симфонических струнных инструментов."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Рекордные футбольные трансферы в истории чемпионата России по годам по номиналу в € без учёта инфляции.","Рекордные футбольные трансферы в истории чемпионата России по годам по номиналу в евро без учёта инфляции."
"Игры в группе A на €-2000 проходили с 12 по 20 июня.","Игры в группе A на Евро-2000 проходили с 12 по 20 июня."
"В апреле 2015 года на территории муниципалитета начались работы по предотвращению эрозии берегов Тирона, на которые было выделено свыше 220 тысяч €.","В апреле 2015 года на территории муниципалитета начались работы по предотвращению эрозии берегов Тирона, на которые было выделено свыше 220 тысяч евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Десять лет спустя французы, возглавляемые Эме Жаке, начали с бронзовых медалей €-96, затем победили в финале домашнего чемпионата мира 1998 года.","Десять лет спустя французы, возглавляемые Эме Жаке, начали с бронзовых медалей Евро-96, затем победили в финале домашнего чемпионата мира 1998 года."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Отборочный турнир €-2016 проходил с сентября 2014 по ноябрь 2015 года и определил участников чемпионата Европы по футболу 2016 года, проводимого во Франции.","Отборочный турнир Евро-2016 проходил с сентября 2014 по ноябрь 2015 года и определил участников чемпионата Европы по футболу 2016 года, проводимого во Франции."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Золотые и серебряные монеты € специальные монеты € выпускаемые каждой страной Еврозоны, из золота и серебра, а также других металлов.","Золотые и серебряные монеты евро специальные монеты евро выпускаемые каждой страной Еврозоны, из золота и серебра, а также других металлов."
"Эти монеты принимаются к оплате только на территории Мальты, помимо монет € Мальты регулярной чеканки, которые принимаются к оплате всеми странами Еврозоны.","Эти монеты принимаются к оплате только на территории Мальты, помимо монет евро Мальты регулярной чеканки, которые принимаются к оплате всеми странами Еврозоны."
"Коллекционные монеты € Мальты посвящены годовщинам различных событий и историческим событиям.","Коллекционные монеты евро Мальты посвящены годовщинам различных событий и историческим событиям."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Игры в группе A на €-2000 проходили с 12 по 20 июня.","Игры в группе A на Евро-2000 проходили с 12 по 20 июня."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"В связи с участием сборной России в финальном турнире €-2008 первая часть чемпионата проходила с 14 марта по 16 мая, вторая часть — со 2 июля по 23 ноября.","В связи с участием сборной России в финальном турнире Евро-2008 первая часть чемпионата проходила с 14 марта по 16 мая, вторая часть — со 2 июля по 23 ноября."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Вручение данных наград происходит после того, как получатель заплатит сумму в размере 10 тысяч €.","Вручение данных наград происходит после того, как получатель заплатит сумму в размере 10 тысяч евро."
"Основным отличием от предыдущей модели является применение двигателя ЯМЗ-7511.10-18 (соответствующего нормам €-2) вместо устаревшего В-31, а также новой кабиной, имеющей увеличенный объём и лучший обзор для оператора.","Основным отличием от предыдущей модели является применение двигателя ЯМЗ-7511.10-18 (соответствующего нормам Евро-2) вместо устаревшего В-31, а также новой кабиной, имеющей увеличенный объём и лучший обзор для оператора."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Открытый чемпионат Женевы по теннису — 16-й розыгрыш ежегодного профессионального теннисного турнира среди мужчин, проводящегося в Швейцарии городе Женеве, и являющегося частью Тура ATP в рамках серии ATP 250 с призовым фондом в размере около 560 тысяч € и турнирной сеткой, рассчитанной на 28 участников в одиночном разряде и 16 пар.","Открытый чемпионат Женевы по теннису — 16-й розыгрыш ежегодного профессионального теннисного турнира среди мужчин, проводящегося в Швейцарии городе Женеве, и являющегося частью Тура ATP в рамках серии ATP 250 с призовым фондом в размере около 560 тысяч евро и турнирной сеткой, рассчитанной на 28 участников в одиночном разряде и 16 пар."
"Цена поездки в Европу составила 1000€ за билет в обе стороны, что оказалось выгодным предложением.","Цена поездки в Европу составила 1000 евро за билет в обе стороны, что оказалось выгодным предложением."
"Он заплатил 500€ за новый планшет, так как это был наилучший вариант для его нужд.","Он заплатил 500 евро за новый планшет, так как это был наилучший вариант для его нужд."
"Для аренды машины на неделю в Париже нужно было отдать 350€.","Для аренды машины на неделю в Париже нужно было отдать 350 евро."
"Участие в конференции стоило 1500€, но это того стоило, учитывая количество спикеров и тем для обсуждения.","Участие в конференции стоило 1500 евро, но это того стоило, учитывая количество спикеров и тем для обсуждения."
"После того как они продали квартиру, им удалось получить 200 000€, что покрыло все расходы.","После того как они продали квартиру, им удалось получить 200 000 евро, что покрыло все расходы."
"Для покупки нового ноутбука они потратили 1200€, выбрав более мощную модель.","Для покупки нового ноутбука они потратили 1200 евро, выбрав более мощную модель."
"Он оплатил ужин в ресторане, который обошелся ему в 50€, включая чай и десерт.","Он оплатил ужин в ресторане, который обошелся ему в 50 евро, включая чай и десерт."
"На ремонт автомобиля было потрачено 800€, включая замену двигателя и покраску кузова.","На ремонт автомобиля было потрачено 800 евро, включая замену двигателя и покраску кузова."
"Они купили новую стиральную машину за 400€, выбрав модель с лучшими отзывами.","Они купили новую стиральную машину за 400 евро, выбрав модель с лучшими отзывами."
"Стоимость тура в Италию на двоих составила 3000€, что включало авиабилеты, проживание и экскурсии.","Стоимость тура в Италию на двоих составила 3000 евро, что включало авиабилеты, проживание и экскурсии."
"На обучение на курсе по веб-разработке они потратили 600€, так как он был хорошо зарекомендован.","На обучение на курсе по веб-разработке они потратили 600 евро, так как он был хорошо зарекомендован."
"Стоимость входных билетов в музеи Европы составляет около 20€ с человека.","Стоимость входных билетов в музеи Европы составляет около 20 евро с человека."
"Для того чтобы поужинать в дорогом ресторане в центре города, нужно было заплатить 150€.","Для того чтобы поужинать в дорогом ресторане в центре города, нужно было заплатить 150 евро."
"За ремонт квартиры в центре города они потратили 20 000€, так как работы были масштабными.","За ремонт квартиры в центре города они потратили 20 000 евро, так как работы были масштабными."
"Для поездки на автобусе по Европе им нужно было заплатить 70€ за билет на человека.","Для поездки на автобусе по Европе им нужно было заплатить 70 евро за билет на человека."
"Тур по историческим местам Парижа стоил 100€, и это была отличная цена для такого длинного маршрута.","Тур по историческим местам Парижа стоил 100 евро, и это была отличная цена для такого длинного маршрута."
"Для того чтобы встретиться с деловыми партнерами, ему нужно было заплатить 200€ за аренду зала.","Для того чтобы встретиться с деловыми партнерами, ему нужно было заплатить 200 евро за аренду зала."
"Он потратил 120€ на покупку билетов в театр, чтобы увидеть этот популярный спектакль.","Он потратил 120 евро на покупку билетов в театр, чтобы увидеть этот популярный спектакль."
"На двухнедельное пребывание в отеле он заплатил 1500€, что было достаточно для комфортного проживания.","На двухнедельное пребывание в отеле он заплатил 1500 евро, что было достаточно для комфортного проживания."
"Цена на кондиционеры в этом магазине варьируется от 200€ до 700€, в зависимости от модели и мощности.","Цена на кондиционеры в этом магазине варьируется от 200 евро до 700 евро, в зависимости от модели и мощности."
"Для того чтобы взять участие в маркете, он заплатил 50€, включая все сборы.","Для того чтобы взять участие в маркете, он заплатил 50 евро, включая все сборы."
"Стоимость ежемесячной подписки на онлайн-курсы составила 30€, что дало ему доступ ко всем материалам.","Стоимость ежемесячной подписки на онлайн-курсы составила 30 евро, что дало ему доступ ко всем материалам."
"Поездка на круизном лайнере стоила 1500€, но включала в себя проживание и питание.","Поездка на круизном лайнере стоила 1500 евро, но включала в себя проживание и питание."
"Они заплатили 200€ за аренду квартиры на один месяц в Барселоне.","Они заплатили 200 евро за аренду квартиры на один месяц в Барселоне."
"Стоимость экскурсий по замкам в Австрии составила 250€, включая все транспортные расходы и билеты.","Стоимость экскурсий по замкам в Австрии составила 250 евро, включая все транспортные расходы и билеты."
"Для того чтобы забронировать места в VIP-зоне, им пришлось заплатить 1000€, что гарантировало удобства.","Для того чтобы забронировать места в VIP-зоне, им пришлось заплатить 1000 евро, что гарантировало удобства."
"На покупку новой мебели для дома они потратили 5000€, выбрав стильный и современный дизайн.","На покупку новой мебели для дома они потратили 5000 евро, выбрав стильный и современный дизайн."
"Цена билетов на самолет из Киева в Лондон составила 150€, что было относительно дешево.","Цена билетов на самолет из Киева в Лондон составила 150 евро, что было относительно дешево."
"Стоимость вечернего ужина на двоих в этом ресторане составила 80€, что для такого уровня было вполне приемлемо.","Стоимость вечернего ужина на двоих в этом ресторане составила 80 евро, что для такого уровня было вполне приемлемо."
"Для того чтобы оформить визу в Великобританию, ему нужно было заплатить 60€, что было стандартной пошлиной.","Для того чтобы оформить визу в Великобританию, ему нужно было заплатить 60 евро, что было стандартной пошлиной."
"На консультации по бизнесу он потратил 500€, так как это было крайне важно для дальнейшего успеха его проекта.","На консультации по бизнесу он потратил 500 евро, так как это было крайне важно для дальнейшего успеха его проекта."
"Стоимость квартир в этом районе колеблется от 100 000€ до 250 000€, в зависимости от размера и состояния жилья.","Стоимость квартир в этом районе колеблется от 100 000 евро до 250 000 евро, в зависимости от размера и состояния жилья."
"Для приобретения товаров в интернет-магазине ему нужно было заплатить 200€, включая доставку и упаковку.","Для приобретения товаров в интернет-магазине ему нужно было заплатить 200 евро, включая доставку и упаковку."
"Стоимость обслуживания автомобиля на автосервисе составила 150€, включая все необходимые детали и работу специалистов.","Стоимость обслуживания автомобиля на автосервисе составила 150 евро, включая все необходимые детали и работу специалистов."
"Для того чтобы пройти курс тренинга по психологии, она заплатила 100€, выбрав группу для начинающих.","Для того чтобы пройти курс тренинга по психологии, она заплатила 100 евро, выбрав группу для начинающих."
"Проживание в этом отеле обойдется вам в 250€ за ночь, включая завтрак и доступ к спа-услугам.","Проживание в этом отеле обойдется вам в 250 евро за ночь, включая завтрак и доступ к спа-услугам."
"Для того чтобы посетить этот престижный клуб, вход стоит 150€, включая все привилегии для гостей.","Для того чтобы посетить этот престижный клуб, вход стоит 150 евро, включая все привилегии для гостей."
"Стоимость путевки на неделю на Мальдивах составила 2000€, включая перелет и проживание.","Стоимость путевки на неделю на Мальдивах составила 2000 евро, включая перелет и проживание."
