question,answer
"Накануне и в гг Революции 1905—1907 участвовал в издании журнала «Коса» (по его названию взял себе псевдоним «Косарь») и «Оса» (под псевдонимом «Кай-Цезарь»), печатался в наиболее радикальных сатирических журналах «Секира», «Аргус», «Альманах», «Маски», «Зеркало», «Зритель», «Овод», в сборнике «В борьбе» (СПб., 1906).","Накануне и в годы Революции 1905—1907 участвовал в издании журнала «Коса» (по его названию взял себе псевдоним «Косарь») и «Оса» (под псевдонимом «Кай-Цезарь»), печатался в наиболее радикальных сатирических журналах «Секира», «Аргус», «Альманах», «Маски», «Зеркало», «Зритель», «Овод», в сборнике «В борьбе» (СПб., 1906)."
"Сборник «Басни Косаря» (СПб., 1906), составлен из опубликованных ранее сочинений, в которых использованы «вечные» басенные сюжеты («Дуб и трость», «Лягушка и вол») и современные, максимально приближенные к стихотворному фельетону (их тематика — сатира на нравы или острая социально-политическая критика: «Редактор и цензор» о мнимой свободе слова, «Квартет», осуждающая репрессивные меры правительства в 1905 г).","Сборник «Басни Косаря» (СПб., 1906), составлен из опубликованных ранее сочинений, в которых использованы «вечные» басенные сюжеты («Дуб и трость», «Лягушка и вол») и современные, максимально приближенные к стихотворному фельетону (их тематика — сатира на нравы или острая социально-политическая критика: «Редактор и цензор» о мнимой свободе слова, «Квартет», осуждающая репрессивные меры правительства в 1905 году)."
"В 1909 г стихи Кайзермана появились в газете «Саратовский вестник»; в этом же г он опубликовал водевиль «Чары нарзана» (М.) о судьбе молодой актрисы; продолжал драматургические опыты: комическая миниатюра «Вещий сон и телефон» (СПб., 1913) и фарс «Рыбья кровь» (М., 1914).","В 1909 году стихи Кайзермана появились в газете «Саратовский вестник»; в этом же году он опубликовал водевиль «Чары нарзана» (М.) о судьбе молодой актрисы; продолжал драматургические опыты: комическая миниатюра «Вещий сон и телефон» (СПб., 1913) и фарс «Рыбья кровь» (М., 1914)."
"После прохождения военной службы в 1933 г начал профессиональную преподавательскую деятельность в качестве преподавателя философии в лицее.","После прохождения военной службы в 1933 году начал профессиональную преподавательскую деятельность в качестве преподавателя философии в лицее."
"Его ранние философские интересы были связаны с немецкой философией XIX в, особенно с Гегелем, Фихте и Марксом.","Его ранние философские интересы были связаны с немецкой философией XIX века, особенно с Гегелем, Фихте и Марксом."
"В 1940-х — 1970-х гг — главный истолкователь идей Хайдеггера во Франции, в 1946 г впервые лично встретился с немецким философом и поддерживал с ним дружеские отношения до его смерти в 1976 г.","В 1940-х — 1970-х годах — главный истолкователь идей Хайдеггера во Франции, в 1946 году впервые лично встретился с немецким философом и поддерживал с ним дружеские отношения до его смерти в 1976 году."
"„ДальРЭО“ комплекс достался всего за 4,8 млн руб., а его реальная стоимость в несколько десятков раз превышает эту цифру».","„ДальРЭО“ комплекс достался всего за 4,8 млн рублей, а его реальная стоимость в несколько десятков раз превышает эту цифру»."
"За справочно-биографическую статью «Полномочное древо полпреда Ишаева» в газете «Хабаровский Экспресс» в апреле 2011 года, где упоминался В. И. Новожилов, на журналистов в 2011 г высокопоставленные лица подали сразу шесть однотипных исков (в списке: Ю. Л. Хризман — генерал-лейтенант, тогдашний начальник ФГУП «ГУ специального строительства по территории ДФО при Федеральном агентстве спецстроительства» — Дальспецстрой, член политсовета Хабаровского РО «Единая Россия»; В. А. Баранов — генерал-майора милиции, экс-начальник УВД по Хабаровскому краю (2001—2007); В. С. Чечеватов — генерал-полковник в отставке, экс-командующий войсками ДВО (1992—1999); А. Г. Шишкин — тогдашний депутат Государственной думы РФ от «Единой России» — региональная группа № 29 Хабаровский край, Еврейская автономная область, ныне сенатор от Хабаровского края), в том числе два иска поступило в Центральный районный суд Хабаровска от Новожилова В. И. с требованием возмещения морального вреда в 500 тыс. руб. за иск.","За справочно-биографическую статью «Полномочное древо полпреда Ишаева» в газете «Хабаровский Экспресс» в апреле 2011 года, где упоминался В. И. Новожилов, на журналистов в 2011 году высокопоставленные лица подали сразу шесть однотипных исков (в списке: Ю. Л. Хризман — генерал-лейтенант, тогдашний начальник ФГУП «ГУ специального строительства по территории ДФО при Федеральном агентстве спецстроительства» — Дальспецстрой, член политсовета Хабаровского РО «Единая Россия»; В. А. Баранов — генерал-майора милиции, экс-начальник УВД по Хабаровскому краю (2001—2007); В. С. Чечеватов — генерал-полковник в отставке, экс-командующий войсками ДВО (1992—1999); А. Г. Шишкин — тогдашний депутат Государственной думы РФ от «Единой России» — региональная группа № 29 Хабаровский край, Еврейская автономная область, ныне сенатор от Хабаровского края), в том числе два иска поступило в Центральный районный суд Хабаровска от Новожилова В. И. с требованием возмещения морального вреда в 500 тыс. рублей за иск."
"Журналистам газеты «Хабаровский Экспресс» присудили выплатить за причиненный моральный ущерб 210 тыс. руб., в частности, Новожилову В. И. по 20 тыс. руб. от каждого из двоих журналистов (всего 40 тыс. руб.).","Журналистам газеты «Хабаровский Экспресс» присудили выплатить за причиненный моральный ущерб 210 тысяч рублей, в частности, Новожилову В. И. по 20 тыс. рублей от каждого из двоих журналистов (всего 40 тыс. рублей)."
"Российский правозащитник и диссидент со стажем, Владимир Шаклеин, в 2012 г, по прибытии в Хабаровск, встретился с журналистами и увидел признаки «заказных» судебных решений.","Российский правозащитник и диссидент со стажем, Владимир Шаклеин, в 2012 году, по прибытии в Хабаровск, встретился с журналистами и увидел признаки «заказных» судебных решений."
"Журналисты обратились в Европейский суд по правам чел., подав жалобы.","Журналисты обратились в Европейский суд по правам человека, подав жалобы."
"род. и вырос в семье художника и художественного критика Шарля-Оливье Мерсона.","Родился и вырос в семье художника и художественного критика Шарля-Оливье Мерсона."
"В 1891 г, в знак признания его вклада во французскую культуру, Люк-Оливье Мерсон был награждён орденом Почётного легиона, а в 1920 за большие заслуги перед Францией — Командорским орденом Почётного легиона (посмертно).","В 1891 году, в знак признания его вклада во французскую культуру, Люк-Оливье Мерсон был награждён орденом Почётного легиона, а в 1920 за большие заслуги перед Францией — Командорским орденом Почётного легиона (посмертно)."
"ум. в Париже в 1920 г.","Умер в Париже в 1920 году."
"Открытый в 1925 г, он считается одним из лучших зелёных открытых пространств в округе.","Открытый в 1925 году, он считается одним из лучших зелёных открытых пространств в округе."
"В 1760-х гг Бойд построил Дэнсон-Хаус, георгианский особняк, который стоит в центре парка, и заказал большую часть ландшафтных работ, которые можно увидеть в парке сегодня.","В 1760-х годах Бойд построил Дэнсон-Хаус, георгианский особняк, который стоит в центре парка, и заказал большую часть ландшафтных работ, которые можно увидеть в парке сегодня."
"В 1773 г Уильям Чемберс построил рядом с озером имитацию древнегреческого храма.","В 1773 году Уильям Чемберс построил рядом с озером имитацию древнегреческого храма."
"В 1961 г он был разобран и перенесён в сады Сент-Полс-Уолден-Бери в Хартфордшире и сегодня является историческим зданием II класса.","В 1961 году он был разобран и перенесён в сады Сент-Полс-Уолден-Бери в Хартфордшире и сегодня является историческим зданием II класса."
"Другим жителем поместья был Альфред Бин, инженер-железнодорожник, купивший поместье в 1862 г.","Другим жителем поместья был Альфред Бин, инженер-железнодорожник, купивший поместье в 1862 году."
"Согласно завещанию Бина, прилегающие территории были распроданы под жилую застройку, но дом и 224 акра поместья остались в семье Бина после его смерти в 1890 г.","Согласно завещанию Бина, прилегающие территории были распроданы под жилую застройку, но дом и 224 акра поместья остались в семье Бина после его смерти в 1890 году."
"После смерти его вдовы в 1921 г поместье было выставлено на аукцион и в конечном итоге приобретено Советом городского округа Бексли за 16 000 фунтов стерлингов в 1924 г.","После смерти его вдовы в 1921 году поместье было выставлено на аукцион и в конечном итоге приобретено Советом городского округа Бексли за 16 000 фунтов стерлингов в 1924 году."
"Парк был открыт для публики в 1925 г принцессой Марией.","Парк был открыт для публики в 1925 году принцессой Марией."
"В 1929 г в северо-восточном углу парка были установлены ворота, пожертвованные Альфредом Моррисом Уилером, известным местным бизнесменом и председателем городского совета Бексли.","В 1929 году в северо-восточном углу парка были установлены ворота, пожертвованные Альфредом Моррисом Уилером, известным местным бизнесменом и председателем городского совета Бексли."
"В 1936 г был открыт бассейн, а в 1964 г — эллинг и кафе.","В 1936 году был открыт бассейн, а в 1964 году — эллинг и кафе."
"Территория парка была восстановлена при финансовой поддержке Фонда наследия национальной лотереи в 2006 г, одновременно с масштабной реставрацией дома Дэнсона, проводимой организацией «Английское наследие».","Территория парка была восстановлена при финансовой поддержке Фонда наследия национальной лотереи в 2006 году, одновременно с масштабной реставрацией дома Дэнсона, проводимой организацией «Английское наследие»."
"Также есть три сада, открытых для посещения: англ. сад, расположенный через дорогу от Дэнсон-хауса;","Также есть три сада, открытых для посещения: Английский сад, расположенный через дорогу от Дэнсон-хауса;"
"В 2014 г фестиваль был отменён из-за плохого состояния территории.","В 2014 году фестиваль был отменён из-за плохого состояния территории."
"В 2015 г Совет снова отменил фестиваль по той же причине, предположив, что эта мера может быть постоянной, и с тех пор фестиваль не проводился.","В 2015 году Совет снова отменил фестиваль по той же причине, предположив, что эта мера может быть постоянной, и с тех пор фестиваль не проводился."
"Население этого округа по переписи 2011 года составляло 10 864 чел..","Население этого округа по переписи 2011 года составляло 10 864 человека."
"На выборах в Совет в 2014 г на участке Дэнсон-парк были избраны Линда Бейли, Шэрон Мэсси и Джон Уотерс, все от Консервативной партии.","На выборах в Совет в 2014 году на участке Дэнсон-парк были избраны Линда Бейли, Шэрон Мэсси и Джон Уотерс, все от Консервативной партии."
"В 2017 г избирательный участок Дэнсон-парк был упразднён, и парк теперь входит в избирательный округ Фалконвуд и Уэллинг.","В 2017 году избирательный участок Дэнсон-парк был упразднён, и парк теперь входит в избирательный округ Фалконвуд и Уэллинг."
"Бассейн в Дэнсон-парке, 1936 г на YouTube (англ.)","Бассейн в Дэнсон-парке, 1936 год на YouTube (англ.)"
"Проект должен стать настоящей реконструкцией средневекового замка XIII в; цель проекта — построить замок, используя исключительно методы и материалы, которые использовались в Средневековье.","Проект должен стать настоящей реконструкцией средневекового замка XIII века; цель проекта — построить замок, используя исключительно методы и материалы, которые использовались в Средневековье."
"Ориентировочное окончание проекта — в 2020-х гг (2025 г.).","Ориентировочное окончание проекта — в 2020-х годах (2025 г.)."
"Идея построения средневекового замка XIII в «с нуля» принадлежала Мишелю Гийо (фр. Michel Guyot).","Идея построения средневекового замка XIII века «с нуля» принадлежала Мишелю Гийо (фр. Michel Guyot)."
"Проект стартовал в 1997 г и продолжается по настоящее время.","Проект стартовал в 1997 году и продолжается по настоящее время."
"Проект создал 55 рабочих мест, но каждый г туда приезжают несколько сотен волонтёров.","Проект создал 55 рабочих мест, но каждый год туда приезжают несколько сотен волонтёров."
"Стройка привлекает множество туристов (так, в 2010 г его посетило более 300 тыс. чел., это самое посещаемое место в Йонне).","Стройка привлекает множество туристов (так, в 2010 году его посетило более 300 тыс. человек, это самое посещаемое место в Йонне)."
"Обнаружено 59 насыпей высотой до 3-х м.","Обнаружено 59 насыпей высотой до 3-х метров."
"Строительство каменного храма длилось с 1709 по 1722 г.","Строительство каменного храма длилось с 1709 по 1722 год."
"В середине XIX в церковь была реконструирована.","В середине XIX века церковь была реконструирована."
"В 1930-х гг службы в храме были прекращены, но здание оставалось нетронутым и в гг войны 1941—1945 годов.","В 1930-х годах службы в храме были прекращены, но здание оставалось нетронутым и в годы войны 1941—1945 годов."
"В 1974 г храм внесён в списки памятников архитектуры, состоящих под охраной государства, но храм к тому времени оказался разграблен, так что не осталось и покрытия полов.","В 1974 году храм внесён в списки памятников архитектуры, состоящих под охраной государства, но храм к тому времени оказался разграблен, так что не осталось и покрытия полов."
"Возвращен Русской православной церкви в 1989 г.","Возвращен Русской православной церкви в 1989 году."
"Жизнь храма Рождества Христова возобновилась в 1994 г с первых молебнов возле аварийного храма.","Жизнь храма Рождества Христова возобновилась в 1994 году с первых молебнов возле аварийного храма."
"Лаудомия Медичи род. во Флоренции в 1518 г в семье банкира Пьерфранческо Медичи-младшего и Марии Содерини.","Лаудомия Медичи родилась во Флоренции в 1518 году в семье банкира Пьерфранческо Медичи-младшего и Марии Содерини."
"В 1537 г, после совершенного их братом убийства флорентийского герцога, им пришлось покинуть монастырь и вместе с семьёй переехать сначала к родственнику Филиппо Строцци в Болонью, а после в Венецию.","В 1537 году, после совершенного их братом убийства флорентийского герцога, им пришлось покинуть монастырь и вместе с семьёй переехать сначала к родственнику Филиппо Строцци в Болонью, а после в Венецию."
"Датой заключения этого брака указан 1532 г, датой вдовства 1534 г.","Датой заключения этого брака указан 1532 год, датой вдовства 1534 год."
"Но оба эти утверждения не могут быть приняты, потому что, во-первых, супругой Алеманно, сына Аверардо Сальвиати была Лукреция Каппони, во-вторых (и это главное) он ум. в 1509 или 1510 г.","Но оба эти утверждения не могут быть приняты, потому что, во-первых, супругой Алеманно, сына Аверардо Сальвиати была Лукреция Каппони, во-вторых (и это главное) он умер в 1509 или 1510 году."
"Лаудомия вышла замуж за кондотьера Пьетро Строцци в 1539 г.","Лаудомия вышла замуж за кондотьера Пьетро Строцци в 1539 году."
"В браке у неё родились два ребёнка: сын Филиппо (1541—1582), месье д’Эперне, генерал армии французского королевства, и дочь Клариче (ум. в 1567), бывшая замужем за Оноре де Савуа, графом Танда и великим сенешалем Прованса, «графиня Тандская» из новеллы мадам де Лафайет.","В браке у неё родились два ребёнка: сын Филиппо (1541—1582), месье д’Эперне, генерал армии французского королевства, и дочь Клариче (умерла в 1567), бывшая замужем за Оноре де Савуа, графом Танда и великим сенешалем Прованса, «графиня Тандская» из новеллы мадам де Лафайет."
"В Венеции, куда Лаудомия переехала с мужем в 1541 г, она жила в доме в Каннареджо.","В Венеции, куда Лаудомия переехала с мужем в 1541 году, она жила в доме в Каннареджо."
"Маршал переслал драгоценности жене в Венецию, и та смогла заложить их за шесть тыс. скудо.","Маршал переслал драгоценности жене в Венецию, и та смогла заложить их за шесть тысяч скудо."
"В феврале 1544 года король Франции даровал её мужу феод Бельвиль, а в 1554 г — феод Эперне.","В феврале 1544 года король Франции даровал её мужу феод Бельвиль, а в 1554 году — феод Эперне."
"Вместе с мужем в том же 1544 г Лаудомия посетила папский двор в Риме и герцогский двор в Ферраре.","Вместе с мужем в том же 1544 году Лаудомия посетила папский двор в Риме и герцогский двор в Ферраре."
"В 1557 г, вместе с семьёй, она переехала во Францию.","В 1557 году, вместе с семьёй, она переехала во Францию."
"Лаудомия Медичи ум. в 1583 г (в некоторых источниках дата её смерти указана, как «после 1558»).","Лаудомия Медичи умерла в 1583 году (в некоторых источниках дата её смерти указана, как «после 1558»)."
"Некоторые искусствоведы идентифицируют с Лаудомией «Портрет дамы с мехом» кисти Бронзино, датируемый ими серединой XVI в.","Некоторые искусствоведы идентифицируют с Лаудомией «Портрет дамы с мехом» кисти Бронзино, датируемый ими серединой XVI века."
"Однако, по мнению других исследователей, на картине изображена Изабелла Медичи, дочь великого герцога Козимо I, и написан портрет во второй половине XVI в.","Однако, по мнению других исследователей, на картине изображена Изабелла Медичи, дочь великого герцога Козимо I, и написан портрет во второй половине XVI века."
"В собрании музея Метрополитен в Нью-Йорке хранится серебряно-хрустальный бюст «Лаудомия Медичи» французской или итальянской школы начала XIX в.","В собрании музея Метрополитен в Нью-Йорке хранится серебряно-хрустальный бюст «Лаудомия Медичи» французской или итальянской школы начала XIX века."
"Современные летние Олимпийские игры проводятся каждые четыре года, начиная с первых игр в 1896 г и на каждом событии олимпийские рекорды утверждаются Международным олимпийским комитетом (МОК).","Современные летние Олимпийские игры проводятся каждые четыре года, начиная с первых игр в 1896 году и на каждом событии олимпийские рекорды утверждаются Международным олимпийским комитетом (МОК)."
"Из различий: только мужчины соревнуются в ходьбе на 50 км, женщины соревнуются в семиборье, в то время как мужчины в десятиборье, женщины бегут дистанцию 100 м с барьерами, а мужчины — 110 м с барьерами.","Из различий: только мужчины соревнуются в ходьбе на 50 км, женщины соревнуются в семиборье, в то время как мужчины в десятиборье, женщины бегут дистанцию 100 метров с барьерами, а мужчины — 110 метров с барьерами."
"На играх он прыгнул на 8,90 м, установив как олимпийский, так и мировой рекорд, улучшив действующий рекорд на 54 см.","На играх он прыгнул на 8,90 метра, установив как олимпийский, так и мировой рекорд, улучшив действующий рекорд на 54 см."
