question,answer
"Назывался также «Фаустпатрон 1», «Фаустпатрон м.» (klein), «Фаустпатрон 30», позднее был модернизирован и получил обозначение «Панцерфауст 30» (здесь индекс 30 — эффективная дальность стрельбы в м).","Назывался также «Фаустпатрон 1», «Фаустпатрон малый» (klein), «Фаустпатрон 30», позднее был модернизирован и получил обозначение «Панцерфауст 30» (здесь индекс 30 — эффективная дальность стрельбы в метрах)."
"Это приводило к весьма малой дальности полета гранаты: от 30 до 150 м (у самых поздних образцов).","Это приводило к весьма малой дальности полета гранаты: от 30 до 150 метров (у самых поздних образцов)."
"На нём был установлен прицел, масса метательного заряда была увеличена до 96 г, удвоена масса кумулятивной боевой части.","На нём был установлен прицел, масса метательного заряда была увеличена до 96 граммов, удвоена масса кумулятивной боевой части."
"Находится на расстоянии примерно 9 км на з. по прямой от северо-западной границы районного центра города Барыш.","Находится на расстоянии примерно 9 километров на запад по прямой от северо-западной границы районного центра города Барыш."
"с. находится в южной части района, в пределах Приволжской возвышенности, на правом берегу реки Белгаза, на расстоянии примерно 24 км (по прямой) к юго-западу от города Аткарск.","Село находится в южной части района, в пределах Приволжской возвышенности, на правом берегу реки Белгаза, на расстоянии примерно 24 километров (по прямой) к юго-западу от города Аткарск."
"Абсолютная выс. — 143 м над уровнем моря.","Абсолютная высота — 143 метра над уровнем моря."
"д. находится в юго-восточной части Нижегородской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Ирсети, на расстоянии приблизительно 13 км (по прямой) к юго-западу от села Починки, административного центра района.","Деревня находится в юго-восточной части Нижегородской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Ирсети, на расстоянии приблизительно 13 километров (по прямой) к юго-западу от села Починки, административного центра района."
"Абсолютная выс. — 122 м над уровнем моря.","Абсолютная высота — 122 метра над уровнем моря."
"Крылья Пэна подобны дождевым тучам, величина его спины — неск. тыс. ли (более тыс. км).","Крылья Пэна подобны дождевым тучам, величина его спины — несколько тысяч ли (более тысячи километров)."
"По приказу командарма-12, отошедший от Запорожья 95-й Надворнянский пограничный отряд войск НКВД СССР вечером 1 октября 1941 года начал возводить вокруг Синельниково (у железнодорожной ветки и ш., ведущих в Днепропетровск и Ново-Московск) оборонительные рубежи, а у села Цыгановщина, расположенного в семи км юго-восточнее, — тыловой р-н.","По приказу командарма-12, отошедший от Запорожья 95-й Надворнянский пограничный отряд войск НКВД СССР вечером 1 октября 1941 года начал возводить вокруг Синельниково (у железнодорожной ветки и шоссе, ведущих в Днепропетровск и Ново-Московск) оборонительные рубежи, а у села Цыгановщина, расположенного в семи километрах юго-восточнее, — тыловой район."
"В пещере расположен самый глубокий в мире карстовый колодец, его глубина — 603 м.","В пещере расположен самый глубокий в мире карстовый колодец, его глубина — 603 метра."
"Победительницей стала словацкая спортсменка Анастасия Кузьмина, преодолевшая дистанцию за 22 минуты и 17,5 с и совершившая один промах (на стрельбе из положения лёжа).","Победительницей стала словацкая спортсменка Анастасия Кузьмина, преодолевшая дистанцию за 22 минуты и 17,5 секунд и совершившая один промах (на стрельбе из положения лёжа)."
"Считается, что в норме величина МОК колеблется в пределах от 3 до 6 л, и в среднем в покое составляет 3,5—5,5 л, а при физических нагрузках может достигать 18—28 и даже 30 л.","Считается, что в норме величина МОК колеблется в пределах от 3 до 6 л, и в среднем в покое составляет 3,5—5,5 л, а при физических нагрузках может достигать 18—28 и даже 30 литров."
"с-майор Павел Петрович Ляпунов по его желанию (?) был причислен (19.11.1790) не в VI ч., по древности рода, а в III ч. ДРК Рязанской губернии.","Секунд-майор Павел Петрович Ляпунов по его желанию (?) был причислен (19.11.1790) не в VI часть, по древности рода, а в III часть ДРК Рязанской губернии."
"Специалисты, выполнившие метаанализ, рекомендуют соблюдать дистанцию с другими людьми больше одного м, а в людных местах, где дистанцию соблюсти невозможно, предлагают использовать маски для лица или респираторы и защиту глаз (лицевые щитки или очки).","Специалисты, выполнившие метаанализ, рекомендуют соблюдать дистанцию с другими людьми больше одного метра, а в людных местах, где дистанцию соблюсти невозможно, предлагают использовать маски для лица или респираторы и защиту глаз (лицевые щитки или очки)."
"Всего в 300 ярдах (или 275 м) от «Сити Граунд», на другом берегу реки Трент, расположен стадион «Медоу Лейн», домашняя арена соседей «Форест» из «Ноттс Каунти».","Всего в 300 ярдах (или 275 метрах) от «Сити Граунд», на другом берегу реки Трент, расположен стадион «Медоу Лейн», домашняя арена соседей «Форест» из «Ноттс Каунти»."
"Через неск. км р. проходит по границе эксклава Чувашии, в котором расположен пос. Максим Горький, сразу ниже которого течёт на северо-восток через сросшиеся с. Энтуганы, посёлки Чувашские Энтуганы, кам. Брод и в 1 км от окраины последнего села впадает в Карлу на высоте 92 м над уровнем моря.","Через несколько километров река проходит по границе эксклава Чувашии, в котором расположен посёлок Максим Горький, сразу ниже которого течёт на северо-восток через сросшиеся село Энтуганы, посёлки Чувашские Энтуганы, Каменный Брод и в 1 км от окраины последнего села впадает в Карлу на высоте 92 м над уровнем моря."
"При игре с классическим контролем времени, игроки обязаны записывать ходы, в противном случае (а также если на часах игрока осталось меньше пяти минут и отсутствует добавление 30 с и более) это необязательно.","При игре с классическим контролем времени, игроки обязаны записывать ходы, в противном случае (а также если на часах игрока осталось меньше пяти минут и отсутствует добавление 30 секунд и более) это необязательно."
"В 1992 г после смерти Веры Руби Уильямс баронский титул снова попал в бездействие между её дочерьми, достопочтенной Памелой Вивьен Киркхэм, женой Майкла Джозефа Сперри Киркхэма, и достопочтенной Розмари Тируитт, женой К Александра Поллока.","В 1992 году после смерти Веры Руби Уильямс баронский титул снова попал в бездействие между её дочерьми, достопочтенной Памелой Вивьен Киркхэм, женой Майкла Джозефа Сперри Киркхэма, и достопочтенной Розмари Тируитт, женой Кельвина Александра Поллока."
"В 1997 г оканчивал школу Н вместе с Би Джей Новаком.","В 1997 году оканчивал школу Ньютона вместе с Би Джей Новаком."
"В пригороде Попово, недалеко от деревни Ковачевец и Паламарца, находится третья самая высокая точка в долине Дуная — гора Калакоч (485 м).","В пригороде Попово, недалеко от деревни Ковачевец и Паламарца, находится третья самая высокая точка в долине Дуная — гора Калакоч (485 метров)."
"Здание представляет собой «кубическое» строение длиною в 54 и шириной в 23 м; выс. составляет 25 м.","Здание представляет собой «кубическое» строение длиною в 54 и шириной в 23 метра; высота составляет 25 метров."
"Рекорды могут быть поставлены на «длинной воде» (бассейн 50 м) или «короткой воде» (бассейн 25 м).","Рекорды могут быть поставлены на «длинной воде» (бассейн 50 метров) или «короткой воде» (бассейн 25 метров)."
"Рекорды могут быть установлены на промежуточных дистанциях в ходе более длинного вида (напр. на 800 м в ходе 1500 м) и на первом этапе эстафеты вольным стилем или комбинированной эстафеты (плавание на спине).","Рекорды могут быть установлены на промежуточных дистанциях в ходе более длинного вида (например на 800 метрах в ходе 1500 метров) и на первом этапе эстафеты вольным стилем или комбинированной эстафеты (плавание на спине)."
"д. находится в южной части Тверской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Мшаги, на расстоянии примерно 29 км (по прямой) к северо-востоку от города Зубцова, административного центра района.","Деревня находится в южной части Тверской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Мшаги, на расстоянии примерно 29 километров (по прямой) к северо-востоку от города Зубцова, административного центра района."
"Абсолютная выс. — 198 м над уровнем моря.","Абсолютная высота — 198 метров над уровнем моря."
"Уразаево расположено в 41 км (по автодорогам в 68 км) к северо-западу от города Нижние Серги, на левом берегу реки Бисерти (правого притока реки Уфы).","Уразаево расположено в 41 километрах (по автодорогам в 68 километрах) к северо-западу от города Нижние Серги, на левом берегу реки Бисерти (правого притока реки Уфы)."
"Размеры офортов изменяются от нескольких см — офорт «Голова кричащего мужчины в меховой шапке» имеет размеры 36 × 29 мм. — до нескольких десятков см — офорт «Христос перед Пилатом» имеет размеры 547 × 447 мм.","Размеры офортов изменяются от нескольких сантиметров — офорт «Голова кричащего мужчины в меховой шапке» имеет размеры 36 × 29 мм. — до нескольких десятков сантиметров — офорт «Христос перед Пилатом» имеет размеры 547 × 447 мм."
"В 1988 г участвовала в юниорском чемпионате мира в Садбери, где выступала в беге на 200 м и заняла последнее, 8-е место в четвертьфинале с результатом 26,88 с.","В 1988 году участвовала в юниорском чемпионате мира в Садбери, где выступала в беге на 200 метров и заняла последнее, 8-е место в четвертьфинале с результатом 26,88 секунды."
"В беге на 100 м заняла последнее, 8-е место в 1/8 финала, показав результат 12,62 и уступив 1 с попавшей в четвертьфинал с 4-го места Анджеле Уильямс из Тринидада и Тобаго.","В беге на 100 метров заняла последнее, 8-е место в 1/8 финала, показав результат 12,62 и уступив 1 секунду попавшей в четвертьфинал с 4-го места Анджеле Уильямс из Тринидада и Тобаго."
"В беге на 200 м заняла последнее, 8-е место в 1/8 финала с результатом 26,08, уступив 2,32 с попавшей в четвертьфинал с 4-го места Анджеле Уильямс.","В беге на 200 метров заняла последнее, 8-е место в 1/8 финала с результатом 26,08, уступив 2,32 секунды попавшей в четвертьфинал с 4-го места Анджеле Уильямс."
"В беге на 100 м выбыла в 1/8 финала, заняв 5-е место (12,26).","В беге на 100 метров выбыла в 1/8 финала, заняв 5-е место (12,26)."
"В беге на 200 м вышла в четвертьфинал, где заняла 6-е место (25,23).","В беге на 200 метров вышла в четвертьфинал, где заняла 6-е место (25,23)."
"Бег на 100 м — 11,8 (1991)","Бег на 100 метров — 11,8 (1991)"
"Бег на 200 м — 24,3 (1991)","Бег на 200 метров — 24,3 (1991)"
"Аэропорт «Юрмала» (латыш. Lidosta «Jūrmala», ИКАО: EVJA) — латвийский аэропорт, располож. в Энгурском крае, в 4 км к юго-востоку от города Тукумс.","Аэропорт «Юрмала» (латыш. Lidosta «Jūrmala», ИКАО: EVJA) — латвийский аэропорт, расположенный в Энгурском крае, в 4 километрах к юго-востоку от города Тукумс."
"На Универсиаде в Казани Радэль вместе с Максимом Дылдиным, Дмитрием Буряком и Владимиром Красновым выиграл золотую медаль в эстафете 4×400 м.","На Универсиаде в Казани Радэль вместе с Максимом Дылдиным, Дмитрием Буряком и Владимиром Красновым выиграл золотую медаль в эстафете 4×400 метров."
"д. находится в центральной части Архангельской области, в подзоне северной тайги, на левом берегу Северной Двины, на расстоянии примерно 11 км (по прямой) к юго-востоку от села Холмогоры, административного центра округа.","Деревня находится в центральной части Архангельской области, в подзоне северной тайги, на левом берегу Северной Двины, на расстоянии примерно 11 километров (по прямой) к юго-востоку от села Холмогоры, административного центра округа."
"Абсолютная выс. — 22 м над уровнем моря.","Абсолютная высота — 22 метра над уровнем моря."
"д. находится в северо-западной части области, в подзоне южной тайги, на левом берегу реки Кудаши, при автодороге 78Н-0138, на расстоянии примерно 9 км (по прямой) к юго-востоку от села Брейтово, административного центра района.","Деревня находится в северо-западной части области, в подзоне южной тайги, на левом берегу реки Кудаши, при автодороге 78Н-0138, на расстоянии примерно 9 километров (по прямой) к юго-востоку от села Брейтово, административного центра района."
"Абсолютная выс. — 127 м над уровнем моря.","Абсолютная высота — 127 метров над уровнем моря."
"В 22:00 перед входом в зону УВД Иркутска экипаж принял информацию АТИС «Лима» о метеоусловиях в аэропорту Иркутск: Ветер у земли — 280 ° 4м/c, видимость 3500, слабый ливневый дождь, облачность сплошная кучево-дождевая 170, температура +11, давление 707 мм рт ст или 943 гПа.","В 22:00 перед входом в зону УВД Иркутска экипаж принял информацию АТИС «Лима» о метеоусловиях в аэропорту Иркутск: Ветер у земли — 280 градусов 4м/c, видимость 3500, слабый ливневый дождь, облачность сплошная кучево-дождевая 170, температура +11, давление 707 мм рт ст или 943 гПа."
"До этого в 21:46 на высоте 11 100 м на скорости 490 км/ч при прохождении пункта обязательных донесений (ПОД) «Лонка» экипаж доложил авиадиспетчеру РЦ Иркутска расчётное время прибытия в аэропорт в 22:40, о запасном аэродроме Братск и получил указание диспетчера следовать на эшелоне FL370 (11 300 м) до расчётного времени начала снижения для занятия на ПОД «Раздолье» эшелона 5700 м.","До этого в 21:46 на высоте 11 100 метров на скорости 490 км/ч при прохождении пункта обязательных донесений (ПОД) «Лонка» экипаж доложил авиадиспетчеру РЦ Иркутска расчётное время прибытия в аэропорт в 22:40, о запасном аэродроме Братск и получил указание диспетчера следовать на эшелоне FL370 (11 300 метров) до расчётного времени начала снижения для занятия на ПОД «Раздолье» эшелона 5700 метров."
"В 22:16 лайнер был выведен в расчетную точку начала снижения, о чём экипаж доложил авиадиспетчеру сначала на аварийной частоте, затем на частоте 124,7 МГц, и получил разрешение на снижение до 5700 м на «Раздолье».","В 22:16 лайнер был выведен в расчетную точку начала снижения, о чём экипаж доложил авиадиспетчеру сначала на аварийной частоте, затем на частоте 124,7 МГц, и получил разрешение на снижение до 5700 метров на «Раздолье»."
"В 22:25 пилоты доложили о пролёте ПОД «Раздолье» на высоте 5700 м, принятии информации АТИС «Лима» (для прилёта) и переведён на связь с «Иркутск—Подход» на частоте 125,2 МГц.","В 22:25 пилоты доложили о пролёте ПОД «Раздолье» на высоте 5700 метров, принятии информации АТИС «Лима» (для прилёта) и переведён на связь с «Иркутск—Подход» на частоте 125,2 МГц."
"Диспетчер подхода подтвердил экипажу рейса 778 местонахождение самолёта и разрешил снижение до высоты 2100 м.","Диспетчер подхода подтвердил экипажу рейса 778 местонахождение самолёта и разрешил снижение до высоты 2100 метров."
"В процессе снижения на высоте 4200 м по команде КВС на 3 минуты была включена ПОС крыла.","В процессе снижения на высоте 4200 метров по команде КВС на 3 минуты была включена ПОС крыла."
"В 22:32 экипаж прослушал информацию АТИС «Майк» (для прилёта), в соответствии с которой незначительно изменилось направление ветра у земли с 280º на 270º, выс. нижней границы облаков увеличилась со 170 м до 190.","В 22:32 экипаж прослушал информацию АТИС «Майк» (для прилёта), в соответствии с которой незначительно изменилось направление ветра у земли с 280º на 270º, высота нижней границы облаков увеличилась со 170 метров до 190."
"В 22:36:46 второй пилот сообщил авиадиспетчеру о нахождении в районе третьего разворота на высоте 900 м и получил информацию о нижнем крае облаков 190 м и разрешение на снижение до высоты 850 м к четвёртому развороту.","В 22:36:46 второй пилот сообщил авиадиспетчеру о нахождении в районе третьего разворота на высоте 900 метров и получил информацию о нижнем крае облаков 190 метров и разрешение на снижение до высоты 850 метров к четвёртому развороту."
"После выполнения 3-го разворота с использованием автопилота (на скорости 325 км/ч и высоте 920 м) второй пилот по команде КВС увеличил угол отклонения закрылков до 20°.","После выполнения 3-го разворота с использованием автопилота (на скорости 325 км/ч и высоте 920 метров) второй пилот по команде КВС увеличил угол отклонения закрылков до 20°."
"В 22:38:12 второй пилот доложил диспетчеру о выполнении четвёртого разворота на высоте 850 м, на что получил указание работать с вышкой на частоте 118.1 МГц.","В 22:38:12 второй пилот доложил диспетчеру о выполнении четвёртого разворота на высоте 850 метров, на что получил указание работать с вышкой на частоте 118.1 МГц."
"В 22:42:40 на высоте 240 м (согласно схеме захода — 245 м) на скорости 257 км/час был пройден ДПРМ, о чём второй пилот доложил авиадиспетчеру.","В 22:42:40 на высоте 240 метров (согласно схеме захода — 245 метров) на скорости 257 км/час был пройден ДПРМ, о чём второй пилот доложил авиадиспетчеру."
"За 30 м до подхода к ВПР второй пилот проинформировал об этом командира.","За 30 метров до подхода к ВПР второй пилот проинформировал об этом командира."
"В 22:43:13, в 1500 м от порога взлётной полосы № 30 и на высоте 105 м, экипаж выключил автопилот № 1, а через 2 с отключил автомат тяги.","В 22:43:13, в 1500 метрах от порога взлётной полосы № 30 и на высоте 105 метров, экипаж выключил автопилот № 1, а через 2 секунды отключил автомат тяги."
"Через неск. с после касания ВПП рычаг управления реверсом двигателя № 2 (правый) был переведён на режим максимальной реверсивной тяги.","Через несколько секунд после касания ВПП рычаг управления реверсом двигателя № 2 (правый) был переведён на режим максимальной реверсивной тяги."
"Реверсивная тяга правого двигателя постепенно уменьшалась в течение 16 с, реверс выключился и двигатель перешёл во взлётный режим.","Реверсивная тяга правого двигателя постепенно уменьшалась в течение 16 секунд, реверс выключился и двигатель перешёл во взлётный режим."
