question,answer
"Флаг утверждён 25 апреля 2012 года и 2 июля 2012 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 7729.","Флаг утверждён 25 апреля 2012 года и 2 июля 2012 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 7729."
"Латинская Δ","Латинская дельта"
"После убытка в размере 250 миллионов $ в течение следующих пяти лет Hanomag был продан.","После убытка в размере 250 миллионов долларов в течение следующих пяти лет Hanomag был продан."
"Годом ранее председатель совета директоров Massey Альберт Торнбро получил зарплату в размере 471 000 $ США, самую высокую в Канаде в то время.","Годом ранее председатель совета директоров Massey Альберт Торнбро получил зарплату в размере 471 000 долларов США, самую высокую в Канаде в то время."
"В октябре 1980 года, Argus пожертвовал своей долей в Massey Ferguson в пользу пенсионного фонда, что привело к тому, что правительство Канады и провинция Онтарио выделили 250 миллионов $ для свёртывания бизнеса, который впоследствии переименовал себя в Varity Corporation.","В октябре 1980 года, Argus пожертвовал своей долей в Massey Ferguson в пользу пенсионного фонда, что привело к тому, что правительство Канады и провинция Онтарио выделили 250 миллионов долларов для свёртывания бизнеса, который впоследствии переименовал себя в Varity Corporation."
"Расстояние между краями отверстия равнялось 2/5 диаметра отверстия для стеньги + половина сужения топа.","Расстояние между краями отверстия равнялось 2/5 диаметра отверстия для стеньги плюс половина сужения топа."
"Серийная модель Haval F5 базировалась на той же платформе, что и Haval H6 и WEY VV5, и имела стоимость от 100 000 до 130 000 ¥.","Серийная модель Haval F5 базировалась на той же платформе, что и Haval H6 и WEY VV5, и имела стоимость от 100 000 до 130 000 юаней."
"Однако за политическими кулисами партии уже всё = давно было решено — Полк не подходит для второго срока.","Однако за политическими кулисами партии уже всё равно давно было решено — Полк не подходит для второго срока."
"В итоге выставка была проведена, но с финансовой точки зрения оказалась провальной: вернулось только 20 % вложенных средств.","В итоге выставка была проведена, но с финансовой точки зрения оказалась провальной: вернулось только 20 процентов вложенных средств."
"Еда и дольче Β.","Еда и дольче вита."
"На подкуп магнатов стороны выделяли по 36 000 червонных (около 90 000 ₽).","На подкуп магнатов стороны выделяли по 36 000 червонных (около 90 000 рублей)."
"Еще в 1830 году купец Иван Игнатьева (скончался в 1831-1832, похоронен был под алтарём Сергиевской церкви) завещал около 500 0000 ₽ монастырю на новую колокольню.","Еще в 1830 году купец Иван Игнатьева (скончался в 1831-1832, похоронен был под алтарём Сергиевской церкви) завещал около 500 0000 рублей монастырю на новую колокольню."
"TR-808 была выпущена в 1980 году со стартовой ценой в 1195 $ США.","TR-808 была выпущена в 1980 году со стартовой ценой в 1195 долларов США."
"К моменту прекращения выпуска в 1983 году, TR-808 стала популярна на б/у рынке, часто продаваясь менее чем за 100 $.","К моменту прекращения выпуска в 1983 году, TR-808 стала популярна на б/у рынке, часто продаваясь менее чем за 100 долларов."
"В этих условиях, + несколько консерваций, + ночные смены на строящемся «Мосфильме», отсутствие полов и сильный холод в павильоне, три потерянные коробки с отснятым материалом, Ромм снял свою «Пышку».","В этих условиях, плюс несколько консерваций, плюс ночные смены на строящемся «Мосфильме», отсутствие полов и сильный холод в павильоне, три потерянные коробки с отснятым материалом, Ромм снял свою «Пышку»."
"Также в языке чибча использовался звук и буква Y (греческая «υ»): напр., Я есть — hүcħaguү, произнося ү через открытый рот, не смыкая губ, а язык не задевает нёба.","Также в языке чибча использовался звук и буква Y (греческая «ипсилон»): напр., Я есть — hүcħaguү, произнося ү через открытый рот, не смыкая губ, а язык не задевает нёба."
"По формуле Гомбриха, стиль — это «образ - объект».","По формуле Гомбриха, стиль — это «образ минус объект»."
"По оценке организаторов, празднование обошлось в 22 млн $.","По оценке организаторов, празднование обошлось в 22 млн долларов."
"Противники и критики же считали, что фактическая сумма превысила 200 млн $.","Противники и критики же считали, что фактическая сумма превысила 200 млн долларов."
"Если из свидетельства e следует, что Cj является истинным конституентом, то ожидаемое правдоподобие теории H при наличии свидетельства e будет = Tr(H,Сj).","Если из свидетельства e следует, что Cj является истинным конституентом, то ожидаемое правдоподобие теории H при наличии свидетельства e будет равно Tr(H,Сj)."
"Если при портальной гипертензии давление в малой печёночной вене больше или = 12 мм рт. ст., между портальной системой и системной венозной сетью возникает коллатеральное кровообращение.","Если при портальной гипертензии давление в малой печёночной вене больше или равно 12 мм рт. ст., между портальной системой и системной венозной сетью возникает коллатеральное кровообращение."
"Атомные элементы (β-вольтаические): α- и β-излучающие изотопы, помещённые в вакуумные капсулы, создают очень высокое напряжение при малых токах.","Атомные элементы (бета-вольтаические): альфа- и бета-излучающие изотопы, помещённые в вакуумные капсулы, создают очень высокое напряжение при малых токах."
"Основными требованиями к изотопам и, соответственно, к источникам тепла изготовленных из них соединений и сплавов являются: достаточно большой период полураспада, безопасность в обращении и эксплуатации (желательно отсутствие проникающих излучений: жёсткого γ-излучения и нейтронов), высокая температура плавления сплавов и соединений, большое удельное энерговыделение, а для изотопов, способных к делению, также и возможно бо́льшая критическая масса.","Основными требованиями к изотопам и, соответственно, к источникам тепла изготовленных из них соединений и сплавов являются: достаточно большой период полураспада, безопасность в обращении и эксплуатации (желательно отсутствие проникающих излучений: жёсткого гамма-излучения и нейтронов), высокая температура плавления сплавов и соединений, большое удельное энерговыделение, а для изотопов, способных к делению, также и возможно бо́льшая критическая масса."
"Недостатком его является то, что входящий в его радиоактивный ряд таллий-208 испускает очень жёсткое γ-излучение (2,614 МэВ), которое сложно экранировать.","Недостатком его является то, что входящий в его радиоактивный ряд таллий-208 испускает очень жёсткое гамма-излучение (2,614 МэВ), которое сложно экранировать."
"Так, например, при использовании α-излучающих рабочих изотопов с большим удельным энерговыделением часто необходимо разбавить рабочий изотоп для уменьшения тепловыделения.","Так, например, при использовании альфа-излучающих рабочих изотопов с большим удельным энерговыделением часто необходимо разбавить рабочий изотоп для уменьшения тепловыделения."
"Следует учитывать вторичные реакции частиц, излучаемых рабочим радиоизотопом, с материалом-разбавителем; так, хотя бериллий или его тугоплавкие соединения (оксид, карбид, борид) удобны в качестве разбавителя β-активных изотопов (вследствие большой теплопроводности, малой плотности, большой теплоёмкости), но в контакте с α-активным изотопом ввиду эффективности (α, n)-реакций на лёгких ядрах источник тепла превратится в весьма опасный источник нейтронов, что по соображениям безопасности совершенно недопустимо.","Следует учитывать вторичные реакции частиц, излучаемых рабочим радиоизотопом, с материалом-разбавителем; так, хотя бериллий или его тугоплавкие соединения (оксид, карбид, борид) удобны в качестве разбавителя бета-активных изотопов (вследствие большой теплопроводности, малой плотности, большой теплоёмкости), но в контакте с альфа-активным изотопом ввиду эффективности (α, n)-реакций на лёгких ядрах источник тепла превратится в весьма опасный источник нейтронов, что по соображениям безопасности совершенно недопустимо."
"При конструировании защитных оболочек от γ-излучения наиболее предпочтительными материалами является прежде всего свинец (ввиду его дешевизны) и обеднённый уран (ввиду гораздо лучшей способности к поглощению γ-излучения).","При конструировании защитных оболочек от гамма-излучения наиболее предпочтительными материалами является прежде всего свинец (ввиду его дешевизны) и обеднённый уран (ввиду гораздо лучшей способности к поглощению гамма-излучения)."
"Экономически эффективно использование обеднённого урана для защиты от γ-излучения (эффективность поглощения γ-квантов ураном в 1,9 раза больше, чем свинцом) ввиду необходимости ассимиляции больших накопленных запасов обеднённого урана в технике.","Экономически эффективно использование обеднённого урана для защиты от гамма-излучения (эффективность поглощения гамма-квантов ураном в 1,9 раза больше, чем свинцом) ввиду необходимости ассимиляции больших накопленных запасов обеднённого урана в технике."
"Электроны, излучающиеся при β-распаде, создавали разность потенциалов между серебряным слоем стеклянной сферы и электродом с радиевой солью.","Электроны, излучающиеся при бета-распаде, создавали разность потенциалов между серебряным слоем стеклянной сферы и электродом с радиевой солью."
"Проникающее γ-излучение, нейтроны.","Проникающее гамма-излучение, нейтроны."
"Повышение давления гелия в капсулах с α-активными изотопами (~200 кг/см² и выше).","Повышение давления гелия в капсулах с альфа-активными изотопами (~200 кг/см² и выше)."
"Использование чистых изотопов (исключение примесей лёгких элементов в контакте с α-излучающими изотопами для предотвращения выхода нейтронов).","Использование чистых изотопов (исключение примесей лёгких элементов в контакте с альфа-излучающими изотопами для предотвращения выхода нейтронов)."
"Цена варьируется от 54800 до 64800 ¥.","Цена варьируется от 54800 до 64800 юаней."
"Антиблокировочная система тормозов (ABS) + электрическое распределение тормозной силы (EBD) и электронный контроль устойчивости (ESC) являются основными функциями безопасности E200.","Антиблокировочная система тормозов (ABS) плюс электрическое распределение тормозной силы (EBD) и электронный контроль устойчивости (ESC) являются основными функциями безопасности E200."
"Boeing 747-131 (регистрационный № N93119, заводской 20083, серийный 153) был выпущен в 1971 году (первый полёт совершил 18 августа).","Boeing 747-131 (регистрационный номер N93119, заводской 20083, серийный 153) был выпущен в 1971 году (первый полёт совершил 18 августа)."
"Первоначальным заказчиком была авиакомпания Eastern Air Lines (он был уже зарегистрирован в ней под б/н N7404Q), однако вскоре она отказалась от 747-х, и 27 октября 1971 года лайнер поступил в авиакомпанию Trans World Airlines (TWA), в которой получил бортовой № N93119.","Первоначальным заказчиком была авиакомпания Eastern Air Lines (он был уже зарегистрирован в ней под б/н N7404Q), однако вскоре она отказалась от 747-х, и 27 октября 1971 года лайнер поступил в авиакомпанию Trans World Airlines (TWA), в которой получил бортовой номер N93119."
"Сумма трансфера не превышала 1 миллион $.","Сумма трансфера не превышала 1 миллион долларов."
"Получил игровой № «84».","Получил игровой номер «84»."
"Время от времени врач делал мне инъекции, + я ел по 10-15 таблеток в день.","Время от времени врач делал мне инъекции, плюс я ел по 10-15 таблеток в день."
"Основной - Силвы заключался в его чрезмерной подверженности травмам.","Основной минус Силвы заключался в его чрезмерной подверженности травмам."
"Памятник культуры Малопольского воеводства: регистрационный № А-694 от 6 февраля 1995 года.","Памятник культуры Малопольского воеводства: регистрационный номер А-694 от 6 февраля 1995 года."
"Двигатель содержит, кроме четырёх неподвижных маршевых камер, две управляющие камеры с тягой по 35 кН, с отклонением до 45 ° и гидроприводом.","Двигатель содержит, кроме четырёх неподвижных маршевых камер, две управляющие камеры с тягой по 35 кН, с отклонением до 45 градусов и гидроприводом."
"Помимо четырёх неподвижных маршевых камер, двигатель включает в себя четыре управляющие камеры с тягой по 35 кН, с отклонением до 45 ° и гидроприводом.","Помимо четырёх неподвижных маршевых камер, двигатель включает в себя четыре управляющие камеры с тягой по 35 кН, с отклонением до 45 градусов и гидроприводом."
"Стоимость запуска «Союза-2М» оценивается в 30 миллионов $.","Стоимость запуска «Союза-2М» оценивается в 30 миллионов долларов."
"На этом этапе заказчиками программного обеспечения (уникального и не тиражируемого) были крупные корпорации и государственные структуры, и стоимость в один миллион $ за программу не была чем-то необычным.","На этом этапе заказчиками программного обеспечения (уникального и не тиражируемого) были крупные корпорации и государственные структуры, и стоимость в один миллион долларов за программу не была чем-то необычным."
"Первой компанией по разработке ПО стала основанная в 1959 году Роем Наттом и Флетчером Джоунсом Computer Sciences Corporation с начальным капиталом в 100 $.","Первой компанией по разработке ПО стала основанная в 1959 году Роем Наттом и Флетчером Джоунсом Computer Sciences Corporation с начальным капиталом в 100 долларов."
"Стоимость такого ПО, как правило, была между пятью и ста тысячами $.","Стоимость такого ПО, как правило, была между пятью и ста тысячами долларов."
"Изначально программы для персональных компьютеров распространялись в «коробочной» форме через торговые центры или по почте и имели цену 100—500 $ США.","Изначально программы для персональных компьютеров распространялись в «коробочной» форме через торговые центры или по почте и имели цену 100—500 долларов США."
"Массовое тиражирование позволило снизить к середине 1990 годов стоимость программного обеспечения для персональных компьютеров до ста — пятисот $, при этом бизнес производителей ПО приобрёл определённое сходство с бизнесом звукозаписывающих компаний.","Массовое тиражирование позволило снизить к середине 1990 годов стоимость программного обеспечения для персональных компьютеров до ста — пятисот долларов, при этом бизнес производителей ПО приобрёл определённое сходство с бизнесом звукозаписывающих компаний."
"Декор и колористическая γ народного искусства обыгрывались в украшении зданий металлом и керамикой.","Декор и колористическая гамма народного искусства обыгрывались в украшении зданий металлом и керамикой."
"Содержал качественные, напечатанные в типографии № размером в 48 страниц, последние из которых были цветными.","Содержал качественные, напечатанные в типографии номера размером в 48 страниц, последние из которых были цветными."
"3-й № второго тома от ноября 1991 года был отмечен в «SFRA Review», где Нил Баррон отмечает, что журнал «соответствует высоким стандартам художественно-технического редактирования и наполнения».","3-й номер второго тома от ноября 1991 года был отмечен в «SFRA Review», где Нил Баррон отмечает, что журнал «соответствует высоким стандартам художественно-технического редактирования и наполнения»."
"Средний доход на одно домашнее хозяйство в городе составил 33 519 $ США, а средний доход на одну семью — 42 768 $.","Средний доход на одно домашнее хозяйство в городе составил 33 519 долларов США, а средний доход на одну семью — 42 768 долларов."
"При этом мужчины имели средний доход в 33 942 $ США в год против 20 139 $ среднегодового дохода у женщин.","При этом мужчины имели средний доход в 33 942 доллара США в год против 20 139 долларов среднегодового дохода у женщин."
"Доход на душу населения в городе составил 17 890 $ в год.","Доход на душу населения в городе составил 17 890 долларов в год."
"Также Помазуна обязали выплатить штраф в размере двух тысяч ₽.","Также Помазуна обязали выплатить штраф в размере двух тысяч рублей."
"Вернувшись с экзамена, он с криками про Чечню и ГРУ напал на отца с ножом, который он ранее приобрёл в палатке рядом с домом за 200 ₽.","Вернувшись с экзамена, он с криками про Чечню и ГРУ напал на отца с ножом, который он ранее приобрёл в палатке рядом с домом за 200 рублей."
"За информацию, которая поможет поймать преступника, было объявлено денежное вознаграждение размером не менее 3 миллионов ₽.","За информацию, которая поможет поймать преступника, было объявлено денежное вознаграждение размером не менее 3 миллионов рублей."
"Также суд обязал стрелка выплатить компенсацию потерпевшим в размере трёх миллионов ₽.","Также суд обязал стрелка выплатить компенсацию потерпевшим в размере трёх миллионов рублей."
"Стоимость реконструкции — 34 млн $ США.","Стоимость реконструкции — 34 млн долларов США."
"Средний доход на одно домашнее хозяйство составил 37 917 $ США, а средний доход на одну семью — 39 583 $.","Средний доход на одно домашнее хозяйство составил 37 917 долларов США, а средний доход на одну семью — 39 583 доллара."
"При этом мужчины имели средний доход в 35 000 $ США в год против 7250 $ среднегодового дохода у женщин.","При этом мужчины имели средний доход в 35 000 долларов США в год против 7250 долларов среднегодового дохода у женщин."
"Доход на душу населения составил 37 917 $ в год.","Доход на душу населения составил 37 917 долларов в год."
"В январе 1964 года были получены первые 6 троллейбусов ОДаЗ-695Т стоимостью 74 тысячи ₽.","В январе 1964 года были получены первые 6 троллейбусов ОДаЗ-695Т стоимостью 74 тысячи рублей."
"Но граждане не хотели это осознавать, и в этом троллейбусе всё = пытались ехать люди всех возрастов.","Но граждане не хотели это осознавать, и в этом троллейбусе всё равно пытались ехать люди всех возрастов."
"В каждом номере первая цифра стала означать № депо, остальные 3 — общегородской № троллейбуса.","В каждом номере первая цифра стала означать номер депо, остальные 3 — общегородской номер троллейбуса."
"Так в 1990 году поступило 32 троллейбуса, в 1991 — 20, в 1993 — 11 (из них семь 1992 года выпуска и четыре 1993 г. в.), в 1994 — только один, получивший парковый № 1061.","Так в 1990 году поступило 32 троллейбуса, в 1991 — 20, в 1993 — 11 (из них семь 1992 года выпуска и четыре 1993 г. в.), в 1994 — только один, получивший парковый номер 1061."
"С 1995 по 1998 год в Житомир поступило 5 троллейбусов ЮМЗ Т1, получившие парковые № 2062, 1063, 2064, 2065 и 1066.","С 1995 по 1998 год в Житомир поступило 5 троллейбусов ЮМЗ Т1, получившие парковые номера 2062, 1063, 2064, 2065 и 1066."
"Один из них имеет тонированные стёкла, ему был присвоен парковый № 2068, с 2008 года — 1068.","Один из них имеет тонированные стёкла, ему был присвоен парковый номер 2068, с 2008 года — 1068."
"Второй получил № 1067.","Второй получил номер 1067."
"Им были присвоены бортовые № 2071—2076.","Им были присвоены бортовые номера 2071—2076."
"На протяжении 10 дней в октябре 2009 года в Житомире проходил испытания троллейбус Богдан Т601.11, получивший временный парковый № 1077.","На протяжении 10 дней в октябре 2009 года в Житомире проходил испытания троллейбус Богдан Т601.11, получивший временный парковый номер 1077."
"6 июня 2017 г. маршрут № 7 был продлён до ЗОКа, в № маршрута добавлена буква А, маршрут № 7а «Маликова — ЗОК» работает только в рабочие дни в час пик, а маршрут № 7 в выходные дни.","6 июня 2017 г. маршрут № 7 был продлён до ЗОКа, в номер маршрута добавлена буква А, маршрут № 7а «Маликова — ЗОК» работает только в рабочие дни в час пик, а маршрут № 7 в выходные дни."
"Мастер-классы ориентированы на раскрытие внутреннего потенциала и творческих способностей участников, = как и знакомство с мировыми практиками и традициями.","Мастер-классы ориентированы на раскрытие внутреннего потенциала и творческих способностей участников, равно как и знакомство с мировыми практиками и традициями."
"Цифровое значение — это порядковый № седьмого полноформатного фестиваля.","Цифровое значение — это порядковый номер седьмого полноформатного фестиваля."
"ATR 72-212A (регистрационный № PS-VPB, серийный 908) был выпущен в 2010 году (первый полёт совершил 22 апреля).","ATR 72-212A (регистрационный номер PS-VPB, серийный 908) был выпущен в 2010 году (первый полёт совершил 22 апреля)."
"Эксплуатировался авиакомпаниями Belle Air (с 28 июня 2010 года по 6 декабря 2013 года, сменил в ней три бортовых № — F-ORAB, I-LZAN и F-ORAI) и Pelita Air (с 29 декабря 2014 года по 10 июня 2022 года, борт PK-PAV, имя Dumai).","Эксплуатировался авиакомпаниями Belle Air (с 28 июня 2010 года по 6 декабря 2013 года, сменил в ней три бортовых номера — F-ORAB, I-LZAN и F-ORAI) и Pelita Air (с 29 декабря 2014 года по 10 июня 2022 года, борт PK-PAV, имя Dumai)."
"Ту-154М с заводским номером 89A-813 и серийным 08-13 был выпущен Куйбышевским авиазаводом в 1989 году и далее передан ВВС ГДР, где получил бортовой № DDR-SFB.","Ту-154М с заводским номером 89A-813 и серийным 08-13 был выпущен Куйбышевским авиазаводом в 1989 году и далее передан ВВС ГДР, где получил бортовой номер DDR-SFB."
"Через год Ту-154 перешёл в ВВС объединённой Германии (Люфтваффе), где получил бортовой № 11+02.","Через год Ту-154 перешёл в ВВС объединённой Германии (Люфтваффе), где получил бортовой номер 11+02."
"Обычно эти счета не используют с целью получения пассивного дохода (%) или с целью сбережений.","Обычно эти счета не используют с целью получения пассивного дохода (процентов) или с целью сбережений."
"N 385-П «О правилах ведения бухгалтерского учета в кредитных организациях, расположенных на территории Российской Федерации» устанавливает, что № банковского расчётного счёта представляет собой двадцатизначное число, в котором:","N 385-П «О правилах ведения бухгалтерского учета в кредитных организациях, расположенных на территории Российской Федерации» устанавливает, что номер банковского расчётного счёта представляет собой двадцатизначное число, в котором:"
"ААА (1—3-я цифры) — № балансового счёта первого порядка;","ААА (1—3-я цифры) — номер балансового счёта первого порядка;"
"ББ (4—5-я цифры) — № балансового счёта второго порядка;","ББ (4—5-я цифры) — номер балансового счёта второго порядка;"
"Г (9-я цифра) — контрольная цифра для выявления случайной ошибки в наборе № счёта;","Г (9-я цифра) — контрольная цифра для выявления случайной ошибки в наборе номера счёта;"
"ДДДД (10—13-я цифры) — четырёхзначный код подразделения банка (иногда не подразделяется и является частью внутреннего № счёта в банке);","ДДДД (10—13-я цифры) — четырёхзначный код подразделения банка (иногда не подразделяется и является частью внутреннего номера счёта в банке);"
"ЕЕЕЕЕЕЕ (14—20-я цифры) — семизначный внутренний № (лицевого) счёта в банке.","ЕЕЕЕЕЕЕ (14—20-я цифры) — семизначный внутренний номер (лицевого) счёта в банке."
"Пример: 40817810099910004312, в котором 408 — означает, что это счёт физического лица, 17 — счёт резидента РФ, бессрочный, 810 — валюта рубли РФ, 0 — контрольная цифра в данном случае, 9991 — код подразделения банка (иногда - часть № счёта), 0004312 — сам № счёта.","Пример: 40817810099910004312, в котором 408 — означает, что это счёт физического лица, 17 — счёт резидента РФ, бессрочный, 810 — валюта рубли РФ, 0 — контрольная цифра в данном случае, 9991 — код подразделения банка (иногда - часть номера счёта), 0004312 — сам номер счёта."
"Внутренний № бюджетных счетов и счетов по учёту доходов и расходов начинается с символа бюджетной отчетности (3 знака) или символа отчета о прибылях и убытках (5 знаков).","Внутренний номер бюджетных счетов и счетов по учёту доходов и расходов начинается с символа бюджетной отчетности (3 знака) или символа отчета о прибылях и убытках (5 знаков)."
"Согласно п. 4 Указания Банка России от 09.12.2019 N 5348-У «О правилах наличных расчетов» запрещено проводить оплату по договору между юридическими лицами или ИП наличными средствами более чем на 100 000 ₽, или хранить излишки наличных свыше лимита, устанавливаемого самой же организацией (Положение о порядке ведения кассовых операций).","Согласно п. 4 Указания Банка России от 09.12.2019 N 5348-У «О правилах наличных расчетов» запрещено проводить оплату по договору между юридическими лицами или ИП наличными средствами более чем на 100 000 рублей, или хранить излишки наличных свыше лимита, устанавливаемого самой же организацией (Положение о порядке ведения кассовых операций)."
"Для исполнения закона «О противодействии финансированию терроризма и легализации доходов, полученных преступным путём» в каждом банке действует отдел финмониторинга, который проверяет в обязательном порядке всё операции на суммы, превышающие 600 000 ₽.","Для исполнения закона «О противодействии финансированию терроризма и легализации доходов, полученных преступным путём» в каждом банке действует отдел финмониторинга, который проверяет в обязательном порядке всё операции на суммы, превышающие 600 000 рублей."
"Владелец агентства увольняет его, предложив выплатить ему пособие в размере двухсот тысяч $.","Владелец агентства увольняет его, предложив выплатить ему пособие в размере двухсот тысяч долларов."
"Ему был дан 58 №.","Ему был дан 58 номер."
"Согласно данным опросов пяти лет с 2012 по 2016 годы, средний доход домохозяйства в Кофмене составляет 42 344 $ США в год, средний доход семьи — 50 941 $.","Согласно данным опросов пяти лет с 2012 по 2016 годы, средний доход домохозяйства в Кофмене составляет 42 344 доллара США в год, средний доход семьи — 50 941 доллар."
"Доход на душу населения в городе составляет 18 373 $.","Доход на душу населения в городе составляет 18 373 доллара."
"Зима длинная (до 250 дней) и холодная, с температурой воздуха до - 26 ° С° и сильными ветрами.","Зима длинная (до 250 дней) и холодная, с температурой воздуха до минус 26 градусов С° и сильными ветрами."
"Средняя температура января — 15 °.","Средняя температура января — 15 градусов."
"Лето прохладное, средняя температура июля + 16 ° тепла.","Лето прохладное, средняя температура июля + 16 градусов тепла."
"Ломанов М. Ф. Действие α-частиц на организм.","Ломанов М. Ф. Действие альфа-частиц на организм."
"Действие β-частиц на организм.","Действие бета-частиц на организм."
"Он стал их вторым подряд альбомом № один в США и четвёртым южнокорейским и неанглийским альбомом, возглавившим чарт.","Он стал их вторым подряд альбомом номер один в США и четвёртым южнокорейским и неанглийским альбомом, возглавившим чарт."
"Заглавный сингл «Chk Chk Boom» достигал 30-го № в UK Singles Chart и 49-го в американском Billboard Hot 100.","Заглавный сингл «Chk Chk Boom» достигал 30-го номера в UK Singles Chart и 49-го в американском Billboard Hot 100."
"Телефонный план нумерации Казахстана — диапазоны телефонных номеров, выделяемых различным пользователям телефонной сети общего пользования в Казахстане, специальные № и другие особенности набора для совершения телефонных вызовов.","Телефонный план нумерации Казахстана — диапазоны телефонных номеров, выделяемых различным пользователям телефонной сети общего пользования в Казахстане, специальные номера и другие особенности набора для совершения телефонных вызовов."
"Все международные № пользователей данной телефонной сети имеют общее начало +7 (600—799), называемое префиксом или телефонным кодом страны.","Все международные номера пользователей данной телефонной сети имеют общее начало +7 (600—799), называемое префиксом или телефонным кодом страны."
"В сети общего пользования России применяются № с тем же префиксом, что и в Казахстане.","В сети общего пользования России применяются номера с тем же префиксом, что и в Казахстане."
"Сотовые № абонентов (то есть без префикса +7) состоят из 10 цифр, в которые входят код мобильного оператора (3 цифры) и № абонента (7 цифр).","Сотовые номера абонентов (то есть без префикса +7) состоят из 10 цифр, в которые входят код мобильного оператора (3 цифры) и номер абонента (7 цифр)."
"Существуют пяти-, шести- и семизначные междугородние № телефонов с тремя, четырьмя и пятью кодами зон соответственно.","Существуют пяти-, шести- и семизначные междугородние номера телефонов с тремя, четырьмя и пятью кодами зон соответственно."
"Казахстан использует закрытый план нумерации[уточнить], то есть необходимо набирать префикс +7 или 8 и полный № вызываемого абонента, причём код 8 можно использовать только внутри страны.","Казахстан использует закрытый план нумерации[уточнить], то есть необходимо набирать префикс +7 или 8 и полный номер вызываемого абонента, причём код 8 можно использовать только внутри страны."
"196 Получение информации о балансе лицевого счёта Казахтелеком (для г. Караганда) — короткие № различных служб могут состоять из 3, 4 или 5 цифр и всегда начинаются на единицу.","196 Получение информации о балансе лицевого счёта Казахтелеком (для г. Караганда) — короткие номера различных служб могут состоять из 3, 4 или 5 цифр и всегда начинаются на единицу."
"8 10 YYY ZZZ XXX-XX-XX, где YYY — код страны, ZZZ — код направления и № абонента могут иметь различную длину в зависимости от целевой страны.","8 10 YYY ZZZ XXX-XX-XX, где YYY — код страны, ZZZ — код направления и номер абонента могут иметь различную длину в зависимости от целевой страны."
