question,answer
"Среднедушевой денежный доход приморцев с января по октябрь 2007 года составил 9954 ₽ (2,3 прожиточных минимума), в 2008 году — 12 808 ₽, а в 2009 году — 15 140 ₽.","Среднедушевой денежный доход приморцев с января по октябрь 2007 года составил 9954 рубля (2,3 прожиточных минимума), в 2008 году — 12 808 рублей, а в 2009 году — 15 140 рублей."
"Среднемесячная заработная плата составляла в 2007 году 11 840 ₽ (2,5 прожиточных минимума).","Среднемесячная заработная плата составляла в 2007 году 11 840 рублей (2,5 прожиточных минимума)."
"Флаг утверждён решением Городского Собрания города Дудинки от 21 мая 2002 года № 07-0333 и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 1059.","Флаг утверждён решением Городского Собрания города Дудинки от 21 мая 2002 года № 07-0333 и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 1059."
"Стоимость строительства должна составить около 37 миллиардов ₽, не более 10 из которых будет выделено из городского бюджета.","Стоимость строительства должна составить около 37 миллиардов рублей, не более 10 из которых будет выделено из городского бюджета."
"Несмотря на старческий возраст Тимура (69 лет), череп его, а = и скелет, не имели ярко выраженных собственно старческих черт.","Несмотря на старческий возраст Тимура (69 лет), череп его, а равно и скелет, не имели ярко выраженных собственно старческих черт."
"Ибн Арабшах, будучи ребёнком, стал пленником Тамерлана и через 30 лет после смерти Тамерлана написал книгу «Аджайиб ал-макдур φ тарихи Таймур» («История амира Темура»).","Ибн Арабшах, будучи ребёнком, стал пленником Тамерлана и через 30 лет после смерти Тамерлана написал книгу «Аджайиб ал-макдур фи тарихи Таймур» («История амира Темура»)."
"Придя в № мотеля, она понимает, что ей нужно сняться в порно, она идёт переодеться в комнату и звонит Дени.","Придя в номер мотеля, она понимает, что ей нужно сняться в порно, она идёт переодеться в комнату и звонит Дени."
"После выхода мини-альбома и сопутствующих гастролей, популярность группы продолжала расти, = как и интерес со стороны лейблов и медиа.","После выхода мини-альбома и сопутствующих гастролей, популярность группы продолжала расти, равно как и интерес со стороны лейблов и медиа."
"Ту-134А (регистрационный № СССР-65856, заводской 23253, серийный 28-01) был выпущен Харьковским государственным авиационным производственным предприятием (ХГАПП) в 1975 году (первый полёт совершил 20 февраля).","Ту-134А (регистрационный номер СССР-65856, заводской 23253, серийный 28-01) был выпущен Харьковским государственным авиационным производственным предприятием (ХГАПП) в 1975 году (первый полёт совершил 20 февраля)."
"Ан-26 (регистрационный № СССР-26492, заводской 9506, серийный 095-06) был выпущен Киевским авиационный заводом в 1980 году (первый полёт совершил 25 апреля).","Ан-26 (регистрационный номер СССР-26492, заводской 9506, серийный 095-06) был выпущен Киевским авиационный заводом в 1980 году (первый полёт совершил 25 апреля)."
"Бригады, имеющие №, и Финляндская состояли каждая из двух полков двухбатальонного состава; все прочие имели по четыре батальона (Восточно-Сибирские — по пять; в Кавказской туземной батальоны называются дружинами).","Бригады, имеющие номера, и Финляндская состояли каждая из двух полков двухбатальонного состава; все прочие имели по четыре батальона (Восточно-Сибирские — по пять; в Кавказской туземной батальоны называются дружинами)."
"Перед именами в списке ниже указаны № классов Сената, которые указывают цикл их избрания.","Перед именами в списке ниже указаны номера классов Сената, которые указывают цикл их избрания."
"Он нёс сферическую посадочную капсулу размером 90 см, содержащую инструменты для химического анализа атмосферы Венеры, измерения γ-излучения поверхностных пород, фотометр, термометр и манометр, а также датчик качания в случае, если аппарат сядет на воду.","Он нёс сферическую посадочную капсулу размером 90 см, содержащую инструменты для химического анализа атмосферы Венеры, измерения гамма-излучения поверхностных пород, фотометр, термометр и манометр, а также датчик качания в случае, если аппарат сядет на воду."
"Это было обусловлено тем, что за 1-е место был предложен денежный приз 28 000 $ США, а в качестве вознаграждения за мировой рекорд — $100 000.","Это было обусловлено тем, что за 1-е место был предложен денежный приз 28 000 долларов США, а в качестве вознаграждения за мировой рекорд — $100 000."
"9 декабря он выиграл Гонолульский марафон с результатом 2:12.31 и стал обладателем денежного приза в размере 40 000 $ США.","9 декабря он выиграл Гонолульский марафон с результатом 2:12.31 и стал обладателем денежного приза в размере 40 000 долларов США."
"В итоге он победил с результатом 1:01.02 и выиграл главный приз 20 000 $.","В итоге он победил с результатом 1:01.02 и выиграл главный приз 20 000 долларов."
"На этом марафоне Кипсанг заработал 122 000 $ США, из них 54 000 за победу и 68 000 за мировой рекорд.","На этом марафоне Кипсанг заработал 122 000 долларов США, из них 54 000 за победу и 68 000 за мировой рекорд."
"За победу он получил денежный приз в размере 100 000 $ США.","За победу он получил денежный приз в размере 100 000 долларов США."
"По итогам серии World Marathon Majors 2013—2014 годов занял 1-е место набрав 76 баллов, а также выиграл главный приз в размере 500 000 $ США.","По итогам серии World Marathon Majors 2013—2014 годов занял 1-е место набрав 76 баллов, а также выиграл главный приз в размере 500 000 долларов США."
"Звезда имеет обозначение υ (υ — 20-я буква греческого алфавита), однако, сама звезда — 33-я по яркости в созвездии.","Звезда имеет обозначение υ (ипсилон — 20-я буква греческого алфавита), однако, сама звезда — 33-я по яркости в созвездии."
"Финансирование канала было организовано по схеме «частный капитал + государство», одним из инициаторов которой был Борис Березовский.","Финансирование канала было организовано по схеме «частный капитал плюс государство», одним из инициаторов которой был Борис Березовский."
"В тот же период ВГТРК выделялось по 25—26 млрд ₽ ежегодно.","В тот же период ВГТРК выделялось по 25—26 млрд рублей ежегодно."
"Кризис, спровоцированный международными санкциями, в совокупности с большими расходами на права на спортивные трансляции, художественный контент и новостное вещание, которое даже в прайм-тайм выходило без рекламных вставок, сильно ударили по финансовому благополучию телеканала, и «Первый» начал накапливать долги, сумма которых к 2018 году достигли 20 млрд ₽.","Кризис, спровоцированный международными санкциями, в совокупности с большими расходами на права на спортивные трансляции, художественный контент и новостное вещание, которое даже в прайм-тайм выходило без рекламных вставок, сильно ударили по финансовому благополучию телеканала, и «Первый» начал накапливать долги, сумма которых к 2018 году достигли 20 млрд рублей."
"Консультанты из PwC, приглашённые телеканалом, оценили необходимые для финансового оздоровления «Первого» субсидии в 6,5 млрд ₽ в год в 2018—2021 и по 5 млрд в 2022—2025, однако искомую поддержку канал получил только в 2020.","Консультанты из PwC, приглашённые телеканалом, оценили необходимые для финансового оздоровления «Первого» субсидии в 6,5 млрд рублей в год в 2018—2021 и по 5 млрд в 2022—2025, однако искомую поддержку канал получил только в 2020."
"По итогам того года «Первый» впервые с 2013 года показал чистую прибыль, которая составила 6,3 млрд ₽ (в 2013 — 2,7 млрд).","По итогам того года «Первый» впервые с 2013 года показал чистую прибыль, которая составила 6,3 млрд рублей (в 2013 — 2,7 млрд)."
"Системный подход к телеблаготворительности на телеканале сложился в начале 2010-х благодаря сотрудничеству с Русфондом в 2011—2020 годах и акции «Добрый свет» — благотворительному аукциону, в ходе которого телеканал впервые опробовал сбор средств через звонки и SMS на короткий №.","Системный подход к телеблаготворительности на телеканале сложился в начале 2010-х благодаря сотрудничеству с Русфондом в 2011—2020 годах и акции «Добрый свет» — благотворительному аукциону, в ходе которого телеканал впервые опробовал сбор средств через звонки и SMS на короткий номер."
"Только за первые 5 лет сотрудничества в 2011—2016 годах «Первый канал» собрал аудиторию в 14,7 млн доноров и собрал 4,1 млрд ₽ для 3320 детей.","Только за первые 5 лет сотрудничества в 2011—2016 годах «Первый канал» собрал аудиторию в 14,7 млн доноров и собрал 4,1 млрд рублей для 3320 детей."
"В 2013 году «Первый канал» провёл масштабный телемарафон для помощи пострадавшим от разрушительного наводнения на Дальнем Востоке и всего за день собрал 829,5 млн ₽.","В 2013 году «Первый канал» провёл масштабный телемарафон для помощи пострадавшим от разрушительного наводнения на Дальнем Востоке и всего за день собрал 829,5 млн рублей."
